case,family,giver,color,query,intent,arm,measurement_id,expected,top_id,top_text,correct,invalid,target_probability,contrast,edit_norm,capped,prohibited_proposal,useful_execution,unauthorized_execution
J04_g0_c0_color,J04,William,red,color,keep,reflection,J04_g0_c0_color/none,red,2266, red,1,0,0.07913556386827697,1.0806427001953125,0.0,0,0,0,0
J04_g0_c0_color,J04,William,red,color,keep,reflection_capped,J04_g0_c0_color/none,red,2266, red,1,0,0.07913556386827697,1.0806427001953125,0.0,0,0,0,0
J04_g0_c0_color,J04,William,red,color,keep,intent_blind_reflection,J04_g0_c0_color/reflection,red,2266, red,1,0,0.08138241320982827,1.31658935546875,34.292423248291016,0,0,0,0
J04_g0_c0_color,J04,William,red,color,keep,wrong_intent_reflection,J04_g0_c0_color/reflection,red,2266, red,1,0,0.08138241320982827,1.31658935546875,34.292423248291016,0,0,0,0
J04_g0_c0_color,J04,William,red,color,keep,current_donor_oracle,J04_g0_c0_color/none,red,2266, red,1,0,0.07913556386827697,1.0806427001953125,0.0,0,0,0,0
J04_g0_c0_color,J04,William,red,color,keep,textual_update,J04_g0_c0_color/none,red,2266, red,1,0,0.07913556386827697,1.0806427001953125,0.0,0,0,0,0
J04_g0_c0_color,J04,William,red,color,keep,revoked_reflection,J04_g0_c0_color/none,red,2266, red,1,0,0.07913556386827697,1.0806427001953125,0.0,0,0,0,0
J04_g0_c0_color,J04,William,red,color,swap,no_edit,J04_g0_c0_color/none,red,2266, red,1,0,0.07913556386827697,1.0806427001953125,0.0,0,0,0,0
J04_g0_c0_color,J04,William,red,color,swap,d6_internal,J04_g0_c0_color/d6_internal,red,2266, red,1,0,0.05002904781758818,0.80072021484375,60.69660949707031,0,0,0,0
J04_g0_c0_color,J04,William,red,color,swap,d6_task,J04_g0_c0_color/d6_task,red,2266, red,1,0,0.0832463308104723,0.848388671875,27.270065307617188,0,0,0,0
J04_g0_c0_color,J04,William,red,color,swap,d6_yoked,J04_g0_c0_color/d6_yoked,red,2266, red,1,0,0.07389053683036653,1.2899093627929688,69.50833892822266,1,0,0,0
J04_g0_c0_color,J04,William,red,color,swap,d6_ridge,J04_g0_c0_color/d6_ridge,red,2266, red,1,0,0.08640328638869056,1.2313232421875,32.12004089355469,0,0,0,0
J04_g0_c0_color,J04,William,red,color,swap,reflection,J04_g0_c0_color/reflection,red,2266, red,1,0,0.08138241320982827,1.31658935546875,34.292423248291016,0,0,0,0
J04_g0_c0_color,J04,William,red,color,swap,reflection_capped,J04_g0_c0_color/reflection_capped,red,2266, red,1,0,0.08138241320982827,1.31658935546875,34.292423248291016,0,0,0,0
J04_g0_c0_color,J04,William,red,color,swap,intent_blind_reflection,J04_g0_c0_color/reflection,red,2266, red,1,0,0.08138241320982827,1.31658935546875,34.292423248291016,0,0,0,0
J04_g0_c0_color,J04,William,red,color,swap,wrong_intent_reflection,J04_g0_c0_color/none,red,2266, red,1,0,0.07913556386827697,1.0806427001953125,0.0,0,0,0,0
J04_g0_c0_color,J04,William,red,color,swap,current_donor_oracle,J04_g0_c0_color/donor,red,2266, red,1,0,0.0805759984419794,1.05584716796875,6.383883953094482,0,0,0,0
J04_g0_c0_color,J04,William,red,color,swap,textual_update,J04_g1_c0_color/none,red,2266, red,1,0,0.07937275159661075,1.0206680297851562,0.0,0,0,0,0
J04_g0_c0_color,J04,William,red,color,swap,revoked_reflection,J04_g0_c0_color/none,red,2266, red,1,0,0.07913556386827697,1.0806427001953125,0.0,0,0,0,0
J04_g0_c1_recipient,J04,William,blue,recipient,keep,no_edit,J04_g0_c1_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.24435321239656996,2.9824142456054688,0.0,0,0,1,0
J04_g0_c1_recipient,J04,William,blue,recipient,keep,d6_internal,J04_g0_c1_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.24435321239656996,2.9824142456054688,0.0,0,0,1,0
J04_g0_c1_recipient,J04,William,blue,recipient,keep,d6_task,J04_g0_c1_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.24435321239656996,2.9824142456054688,0.0,0,0,1,0
J04_g0_c1_recipient,J04,William,blue,recipient,keep,d6_yoked,J04_g0_c1_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.24435321239656996,2.9824142456054688,0.0,0,0,1,0
J04_g0_c1_recipient,J04,William,blue,recipient,keep,d6_ridge,J04_g0_c1_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.24435321239656996,2.9824142456054688,0.0,0,0,1,0
J04_g0_c1_recipient,J04,William,blue,recipient,keep,reflection,J04_g0_c1_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.24435321239656996,2.9824142456054688,0.0,0,0,1,0
J04_g0_c1_recipient,J04,William,blue,recipient,keep,reflection_capped,J04_g0_c1_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.24435321239656996,2.9824142456054688,0.0,0,0,1,0
J04_g0_c1_recipient,J04,William,blue,recipient,keep,intent_blind_reflection,J04_g0_c1_recipient/reflection,Elizabeth,465, his,0,1,0.10485468265560077,0.44640350341796875,17.043811798095703,0,0,0,0
J04_g0_c1_recipient,J04,William,blue,recipient,keep,wrong_intent_reflection,J04_g0_c1_recipient/reflection,Elizabeth,465, his,0,1,0.10485468265560077,0.44640350341796875,17.043811798095703,0,0,0,0
J04_g0_c1_recipient,J04,William,blue,recipient,keep,current_donor_oracle,J04_g0_c1_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.24435321239656996,2.9824142456054688,0.0,0,0,1,0
J04_g0_c1_recipient,J04,William,blue,recipient,keep,textual_update,J04_g0_c1_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.24435321239656996,2.9824142456054688,0.0,0,0,1,0
J04_g0_c1_recipient,J04,William,blue,recipient,keep,revoked_reflection,J04_g0_c1_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.24435321239656996,2.9824142456054688,0.0,0,0,1,0
J04_g0_c1_recipient,J04,William,blue,recipient,swap,no_edit,J04_g0_c1_recipient/none,William,10674, Elizabeth,0,0,0.012381464114042744,-2.9824142456054688,0.0,0,1,0,0
J04_g0_c1_recipient,J04,William,blue,recipient,swap,d6_internal,J04_g0_c1_recipient/d6_internal,William,465, his,0,1,0.1227491877598983,2.0676345825195312,33.370643615722656,0,0,0,0
J04_g0_c1_recipient,J04,William,blue,recipient,swap,d6_task,J04_g0_c1_recipient/d6_task,William,10674, Elizabeth,0,0,0.006487855287646535,-3.63671875,14.354524612426758,0,1,0,0
J04_g0_c1_recipient,J04,William,blue,recipient,swap,d6_yoked,J04_g0_c1_recipient/d6_yoked,William,10674, Elizabeth,0,0,0.001831139530518507,-5.0476226806640625,32.39090347290039,0,1,0,0
J04_g0_c1_recipient,J04,William,blue,recipient,swap,d6_ridge,J04_g0_c1_recipient/d6_ridge,William,465, his,0,1,0.06358057080079328,-0.5160903930664062,15.960098266601562,0,0,0,0
J04_g0_c1_recipient,J04,William,blue,recipient,swap,reflection,J04_g0_c1_recipient/reflection,William,465, his,0,1,0.06709918604676464,-0.44640350341796875,17.043811798095703,0,0,0,0
J04_g0_c1_recipient,J04,William,blue,recipient,swap,reflection_capped,J04_g0_c1_recipient/reflection_capped,William,465, his,0,1,0.06709918604676464,-0.44640350341796875,17.043811798095703,0,0,0,0
J04_g0_c1_recipient,J04,William,blue,recipient,swap,intent_blind_reflection,J04_g0_c1_recipient/reflection,William,465, his,0,1,0.06709918604676464,-0.44640350341796875,17.043811798095703,0,0,0,0
J04_g0_c1_recipient,J04,William,blue,recipient,swap,wrong_intent_reflection,J04_g0_c1_recipient/none,William,10674, Elizabeth,0,0,0.012381464114042744,-2.9824142456054688,0.0,0,1,0,0
J04_g0_c1_recipient,J04,William,blue,recipient,swap,current_donor_oracle,J04_g0_c1_recipient/donor,William,465, his,0,1,0.07898189592265649,1.1210403442382812,23.887788772583008,0,0,0,0
J04_g0_c1_recipient,J04,William,blue,recipient,swap,textual_update,J04_g1_c1_recipient/none,William,3977, William,1,0,0.1914821636432068,2.2735977172851562,0.0,0,0,1,0
J04_g0_c1_recipient,J04,William,blue,recipient,swap,revoked_reflection,J04_g0_c1_recipient/none,William,10674, Elizabeth,0,0,0.012381464114042744,-2.9824142456054688,0.0,0,1,0,0
J04_g0_c1_color,J04,William,blue,color,keep,no_edit,J04_g0_c1_color/none,blue,2266, red,0,0,0.05613266589467623,-0.07347869873046875,0.0,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,keep,d6_internal,J04_g0_c1_color/none,blue,2266, red,0,0,0.05613266589467623,-0.07347869873046875,0.0,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,keep,d6_task,J04_g0_c1_color/none,blue,2266, red,0,0,0.05613266589467623,-0.07347869873046875,0.0,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,keep,d6_yoked,J04_g0_c1_color/none,blue,2266, red,0,0,0.05613266589467623,-0.07347869873046875,0.0,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,keep,d6_ridge,J04_g0_c1_color/none,blue,2266, red,0,0,0.05613266589467623,-0.07347869873046875,0.0,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,keep,reflection,J04_g0_c1_color/none,blue,2266, red,0,0,0.05613266589467623,-0.07347869873046875,0.0,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,keep,reflection_capped,J04_g0_c1_color/none,blue,2266, red,0,0,0.05613266589467623,-0.07347869873046875,0.0,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,keep,intent_blind_reflection,J04_g0_c1_color/reflection,blue,2266, red,0,0,0.04562881000224272,-0.253997802734375,34.82039260864258,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,keep,wrong_intent_reflection,J04_g0_c1_color/reflection,blue,2266, red,0,0,0.04562881000224272,-0.253997802734375,34.82039260864258,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,keep,current_donor_oracle,J04_g0_c1_color/none,blue,2266, red,0,0,0.05613266589467623,-0.07347869873046875,0.0,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,keep,textual_update,J04_g0_c1_color/none,blue,2266, red,0,0,0.05613266589467623,-0.07347869873046875,0.0,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,keep,revoked_reflection,J04_g0_c1_color/none,blue,2266, red,0,0,0.05613266589467623,-0.07347869873046875,0.0,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,swap,no_edit,J04_g0_c1_color/none,blue,2266, red,0,0,0.05613266589467623,-0.07347869873046875,0.0,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,swap,d6_internal,J04_g0_c1_color/d6_internal,blue,2266, red,0,0,0.03381430587431043,-0.282012939453125,63.28752136230469,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,swap,d6_task,J04_g0_c1_color/d6_task,blue,4171, blue,1,0,0.07437970084452625,0.2635040283203125,25.86238670349121,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,swap,d6_yoked,J04_g0_c1_color/d6_yoked,blue,2266, red,0,0,0.04727078382849061,-0.0820465087890625,69.50834655761719,1,0,0,0
J04_g0_c1_color,J04,William,blue,color,swap,d6_ridge,J04_g0_c1_color/d6_ridge,blue,2266, red,0,0,0.05449219824497377,-0.15454864501953125,32.43809127807617,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,swap,reflection,J04_g0_c1_color/reflection,blue,2266, red,0,0,0.04562881000224272,-0.253997802734375,34.82039260864258,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,swap,reflection_capped,J04_g0_c1_color/reflection_capped,blue,2266, red,0,0,0.04562881000224272,-0.253997802734375,34.82039260864258,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,swap,intent_blind_reflection,J04_g0_c1_color/reflection,blue,2266, red,0,0,0.04562881000224272,-0.253997802734375,34.82039260864258,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,swap,wrong_intent_reflection,J04_g0_c1_color/none,blue,2266, red,0,0,0.05613266589467623,-0.07347869873046875,0.0,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,swap,current_donor_oracle,J04_g0_c1_color/donor,blue,2266, red,0,0,0.056257409959731074,-0.08455657958984375,6.373064994812012,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,swap,textual_update,J04_g1_c1_color/none,blue,4171, blue,1,0,0.05748230161560022,0.02050018310546875,0.0,0,0,0,0
J04_g0_c1_color,J04,William,blue,color,swap,revoked_reflection,J04_g0_c1_color/none,blue,2266, red,0,0,0.05613266589467623,-0.07347869873046875,0.0,0,0,0,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,keep,no_edit,J04_g1_c0_recipient/none,William,3977, William,1,0,0.19318318206130858,2.3271331787109375,0.0,0,0,1,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,keep,d6_internal,J04_g1_c0_recipient/none,William,3977, William,1,0,0.19318318206130858,2.3271331787109375,0.0,0,0,1,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,keep,d6_task,J04_g1_c0_recipient/none,William,3977, William,1,0,0.19318318206130858,2.3271331787109375,0.0,0,0,1,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,keep,d6_yoked,J04_g1_c0_recipient/none,William,3977, William,1,0,0.19318318206130858,2.3271331787109375,0.0,0,0,1,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,keep,d6_ridge,J04_g1_c0_recipient/none,William,3977, William,1,0,0.19318318206130858,2.3271331787109375,0.0,0,0,1,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,keep,reflection,J04_g1_c0_recipient/none,William,3977, William,1,0,0.19318318206130858,2.3271331787109375,0.0,0,0,1,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,keep,reflection_capped,J04_g1_c0_recipient/none,William,3977, William,1,0,0.19318318206130858,2.3271331787109375,0.0,0,0,1,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,keep,intent_blind_reflection,J04_g1_c0_recipient/reflection,William,607, her,0,1,0.018940893006141324,-1.7332000732421875,29.93022346496582,0,0,0,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,keep,wrong_intent_reflection,J04_g1_c0_recipient/reflection,William,607, her,0,1,0.018940893006141324,-1.7332000732421875,29.93022346496582,0,0,0,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,keep,current_donor_oracle,J04_g1_c0_recipient/none,William,3977, William,1,0,0.19318318206130858,2.3271331787109375,0.0,0,0,1,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,keep,textual_update,J04_g1_c0_recipient/none,William,3977, William,1,0,0.19318318206130858,2.3271331787109375,0.0,0,0,1,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,keep,revoked_reflection,J04_g1_c0_recipient/none,William,3977, William,1,0,0.19318318206130858,2.3271331787109375,0.0,0,0,1,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,swap,no_edit,J04_g1_c0_recipient/none,Elizabeth,3977, William,0,0,0.01884986382832437,-2.3271331787109375,0.0,0,1,0,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,swap,d6_internal,J04_g1_c0_recipient/d6_internal,Elizabeth,3977, William,0,0,0.006111952097324015,-4.173042297363281,23.128536224365234,0,1,0,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,swap,d6_task,J04_g1_c0_recipient/d6_task,Elizabeth,607, her,0,1,0.04450047302175876,1.3890228271484375,32.223121643066406,0,0,0,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,swap,d6_yoked,J04_g1_c0_recipient/d6_yoked,Elizabeth,607, her,0,1,0.06055907996047183,3.4775772094726562,49.38628387451172,0,0,0,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,swap,d6_ridge,J04_g1_c0_recipient/d6_ridge,Elizabeth,607, her,0,1,0.09294640438298539,1.6526565551757812,28.516845703125,0,0,0,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,swap,reflection,J04_g1_c0_recipient/reflection,Elizabeth,607, her,0,1,0.10718146248508775,1.7332000732421875,29.93022346496582,0,0,0,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,swap,reflection_capped,J04_g1_c0_recipient/reflection_capped,Elizabeth,607, her,0,1,0.10718146248508775,1.7332000732421875,29.93022346496582,0,0,0,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,swap,intent_blind_reflection,J04_g1_c0_recipient/reflection,Elizabeth,607, her,0,1,0.10718146248508775,1.7332000732421875,29.93022346496582,0,0,0,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,swap,wrong_intent_reflection,J04_g1_c0_recipient/none,Elizabeth,3977, William,0,0,0.01884986382832437,-2.3271331787109375,0.0,0,1,0,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,swap,current_donor_oracle,J04_g1_c0_recipient/donor,Elizabeth,607, her,0,1,0.10667834993276261,1.175537109375,25.15492820739746,0,0,0,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,swap,textual_update,J04_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.2506584754260293,2.9193267822265625,0.0,0,0,1,0
J04_g1_c0_recipient,J04,Elizabeth,red,recipient,swap,revoked_reflection,J04_g1_c0_recipient/none,Elizabeth,3977, William,0,0,0.01884986382832437,-2.3271331787109375,0.0,0,1,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,keep,no_edit,J04_g1_c0_color/none,red,2266, red,1,0,0.07937275159661075,1.0206680297851562,0.0,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,keep,d6_internal,J04_g1_c0_color/none,red,2266, red,1,0,0.07937275159661075,1.0206680297851562,0.0,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,keep,d6_task,J04_g1_c0_color/none,red,2266, red,1,0,0.07937275159661075,1.0206680297851562,0.0,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,keep,d6_yoked,J04_g1_c0_color/none,red,2266, red,1,0,0.07937275159661075,1.0206680297851562,0.0,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,keep,d6_ridge,J04_g1_c0_color/none,red,2266, red,1,0,0.07937275159661075,1.0206680297851562,0.0,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,keep,reflection,J04_g1_c0_color/none,red,2266, red,1,0,0.07937275159661075,1.0206680297851562,0.0,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,keep,reflection_capped,J04_g1_c0_color/none,red,2266, red,1,0,0.07937275159661075,1.0206680297851562,0.0,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,keep,intent_blind_reflection,J04_g1_c0_color/reflection,red,2266, red,1,0,0.08068785495099115,1.292388916015625,35.665496826171875,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,keep,wrong_intent_reflection,J04_g1_c0_color/reflection,red,2266, red,1,0,0.08068785495099115,1.292388916015625,35.665496826171875,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,keep,current_donor_oracle,J04_g1_c0_color/none,red,2266, red,1,0,0.07937275159661075,1.0206680297851562,0.0,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,keep,textual_update,J04_g1_c0_color/none,red,2266, red,1,0,0.07937275159661075,1.0206680297851562,0.0,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,keep,revoked_reflection,J04_g1_c0_color/none,red,2266, red,1,0,0.07937275159661075,1.0206680297851562,0.0,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,swap,no_edit,J04_g1_c0_color/none,red,2266, red,1,0,0.07937275159661075,1.0206680297851562,0.0,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,swap,d6_internal,J04_g1_c0_color/d6_internal,red,2266, red,1,0,0.051190071597738744,0.7664871215820312,61.47993469238281,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,swap,d6_task,J04_g1_c0_color/d6_task,red,2266, red,1,0,0.07979840997924405,0.852142333984375,28.85516357421875,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,swap,d6_yoked,J04_g1_c0_color/d6_yoked,red,2266, red,1,0,0.08110164266313419,1.2545089721679688,69.50833892822266,1,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,swap,d6_ridge,J04_g1_c0_color/d6_ridge,red,2266, red,1,0,0.08232108976295177,1.2074127197265625,33.358665466308594,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,swap,reflection,J04_g1_c0_color/reflection,red,2266, red,1,0,0.08068785495099115,1.292388916015625,35.665496826171875,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,swap,reflection_capped,J04_g1_c0_color/reflection_capped,red,2266, red,1,0,0.08068785495099115,1.292388916015625,35.665496826171875,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,swap,intent_blind_reflection,J04_g1_c0_color/reflection,red,2266, red,1,0,0.08068785495099115,1.292388916015625,35.665496826171875,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,swap,wrong_intent_reflection,J04_g1_c0_color/none,red,2266, red,1,0,0.07937275159661075,1.0206680297851562,0.0,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,swap,current_donor_oracle,J04_g1_c0_color/donor,red,2266, red,1,0,0.07926185500397617,1.0593414306640625,6.383883953094482,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,swap,textual_update,J04_g0_c0_color/none,red,2266, red,1,0,0.07913556386827697,1.0806427001953125,0.0,0,0,0,0
J04_g1_c0_color,J04,Elizabeth,red,color,swap,revoked_reflection,J04_g1_c0_color/none,red,2266, red,1,0,0.07937275159661075,1.0206680297851562,0.0,0,0,0,0
J04_g1_c1_recipient,J04,Elizabeth,blue,recipient,keep,no_edit,J04_g1_c1_recipient/none,William,3977, William,1,0,0.1914821636432068,2.2735977172851562,0.0,0,0,1,0
J04_g1_c1_recipient,J04,Elizabeth,blue,recipient,keep,d6_internal,J04_g1_c1_recipient/none,William,3977, William,1,0,0.1914821636432068,2.2735977172851562,0.0,0,0,1,0
