case,intent,stage,update_revision,update_scope,signature,accepted,store_revision,store_scope,operation
J04_g0_c1_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J04_g0_c1_color,swap,old_replay,1,"[[""J04_g0_c1_color"", ""swap""]]",a7ed2f3caeec08bddd796882810bb900464884064a15cf2068239da0d9114617,0,2,[],none
J04_g1_c0_recipient,keep,current,1,"[[""J04_g1_c0_recipient"", ""keep""]]",c651d7ea8b5e09f43ff8443a1bc4bc5be1eb879df26980a9257bf06a68b38835,1,1,"[[""J04_g1_c0_recipient"", ""keep""]]",keep
J04_g1_c0_recipient,keep,forged_opposite,2,"[[""J04_g1_c0_recipient"", ""swap""]]",forged,0,1,"[[""J04_g1_c0_recipient"", ""keep""]]",keep
J04_g1_c0_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J04_g1_c0_recipient,keep,old_replay,1,"[[""J04_g1_c0_recipient"", ""keep""]]",c651d7ea8b5e09f43ff8443a1bc4bc5be1eb879df26980a9257bf06a68b38835,0,2,[],none
J04_g1_c0_recipient,swap,current,1,"[[""J04_g1_c0_recipient"", ""swap""]]",ac36d734f4b0d1001a1a1db225ef4e7543ea9aad3410de213834dc3f54a91102,1,1,"[[""J04_g1_c0_recipient"", ""swap""]]",swap
J04_g1_c0_recipient,swap,forged_opposite,2,"[[""J04_g1_c0_recipient"", ""keep""]]",forged,0,1,"[[""J04_g1_c0_recipient"", ""swap""]]",swap
J04_g1_c0_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J04_g1_c0_recipient,swap,old_replay,1,"[[""J04_g1_c0_recipient"", ""swap""]]",ac36d734f4b0d1001a1a1db225ef4e7543ea9aad3410de213834dc3f54a91102,0,2,[],none
J04_g1_c0_color,keep,current,1,"[[""J04_g1_c0_color"", ""keep""]]",3fdbcc500082f3e03b6f438d745f6fa297fd004f9fc4c1060b25a81b2275f78c,1,1,"[[""J04_g1_c0_color"", ""keep""]]",keep
J04_g1_c0_color,keep,forged_opposite,2,"[[""J04_g1_c0_color"", ""swap""]]",forged,0,1,"[[""J04_g1_c0_color"", ""keep""]]",keep
J04_g1_c0_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J04_g1_c0_color,keep,old_replay,1,"[[""J04_g1_c0_color"", ""keep""]]",3fdbcc500082f3e03b6f438d745f6fa297fd004f9fc4c1060b25a81b2275f78c,0,2,[],none
J04_g1_c0_color,swap,current,1,"[[""J04_g1_c0_color"", ""swap""]]",f3e6c44c40291238ea126f5dbea91d7c0af9a17f6e2c50763390309d9bc0fa92,1,1,"[[""J04_g1_c0_color"", ""swap""]]",swap
J04_g1_c0_color,swap,forged_opposite,2,"[[""J04_g1_c0_color"", ""keep""]]",forged,0,1,"[[""J04_g1_c0_color"", ""swap""]]",swap
J04_g1_c0_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J04_g1_c0_color,swap,old_replay,1,"[[""J04_g1_c0_color"", ""swap""]]",f3e6c44c40291238ea126f5dbea91d7c0af9a17f6e2c50763390309d9bc0fa92,0,2,[],none
J04_g1_c1_recipient,keep,current,1,"[[""J04_g1_c1_recipient"", ""keep""]]",afcd04b82123d37827e8940c1027887fcdb710e56b4ce3c4c6dcb1d3cb73c18c,1,1,"[[""J04_g1_c1_recipient"", ""keep""]]",keep
J04_g1_c1_recipient,keep,forged_opposite,2,"[[""J04_g1_c1_recipient"", ""swap""]]",forged,0,1,"[[""J04_g1_c1_recipient"", ""keep""]]",keep
J04_g1_c1_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J04_g1_c1_recipient,keep,old_replay,1,"[[""J04_g1_c1_recipient"", ""keep""]]",afcd04b82123d37827e8940c1027887fcdb710e56b4ce3c4c6dcb1d3cb73c18c,0,2,[],none
J04_g1_c1_recipient,swap,current,1,"[[""J04_g1_c1_recipient"", ""swap""]]",1278e51629e06196a20439b6aa46bda2288d5bd867e8837d535be21d45a75109,1,1,"[[""J04_g1_c1_recipient"", ""swap""]]",swap
J04_g1_c1_recipient,swap,forged_opposite,2,"[[""J04_g1_c1_recipient"", ""keep""]]",forged,0,1,"[[""J04_g1_c1_recipient"", ""swap""]]",swap
J04_g1_c1_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J04_g1_c1_recipient,swap,old_replay,1,"[[""J04_g1_c1_recipient"", ""swap""]]",1278e51629e06196a20439b6aa46bda2288d5bd867e8837d535be21d45a75109,0,2,[],none
J04_g1_c1_color,keep,current,1,"[[""J04_g1_c1_color"", ""keep""]]",5aa04d12b0cce576fa5ca1a3ad20de44803f276cd819ce5666f155cd727de6a9,1,1,"[[""J04_g1_c1_color"", ""keep""]]",keep
J04_g1_c1_color,keep,forged_opposite,2,"[[""J04_g1_c1_color"", ""swap""]]",forged,0,1,"[[""J04_g1_c1_color"", ""keep""]]",keep
J04_g1_c1_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J04_g1_c1_color,keep,old_replay,1,"[[""J04_g1_c1_color"", ""keep""]]",5aa04d12b0cce576fa5ca1a3ad20de44803f276cd819ce5666f155cd727de6a9,0,2,[],none
J04_g1_c1_color,swap,current,1,"[[""J04_g1_c1_color"", ""swap""]]",699eaece8a1f9a2551238f3ca034655dbd56ec3c9f65b5cfc86d8f3b3f3d3703,1,1,"[[""J04_g1_c1_color"", ""swap""]]",swap
J04_g1_c1_color,swap,forged_opposite,2,"[[""J04_g1_c1_color"", ""keep""]]",forged,0,1,"[[""J04_g1_c1_color"", ""swap""]]",swap
J04_g1_c1_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J04_g1_c1_color,swap,old_replay,1,"[[""J04_g1_c1_color"", ""swap""]]",699eaece8a1f9a2551238f3ca034655dbd56ec3c9f65b5cfc86d8f3b3f3d3703,0,2,[],none
J05_g0_c0_recipient,keep,current,1,"[[""J05_g0_c0_recipient"", ""keep""]]",60fd48ce34318dc9a4e466d2deb0a8cd4c55b876f3682e75ac7500f7a91d3280,1,1,"[[""J05_g0_c0_recipient"", ""keep""]]",keep
J05_g0_c0_recipient,keep,forged_opposite,2,"[[""J05_g0_c0_recipient"", ""swap""]]",forged,0,1,"[[""J05_g0_c0_recipient"", ""keep""]]",keep
J05_g0_c0_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J05_g0_c0_recipient,keep,old_replay,1,"[[""J05_g0_c0_recipient"", ""keep""]]",60fd48ce34318dc9a4e466d2deb0a8cd4c55b876f3682e75ac7500f7a91d3280,0,2,[],none
J05_g0_c0_recipient,swap,current,1,"[[""J05_g0_c0_recipient"", ""swap""]]",7094489d4988f1e5c9553e4aa7463d0259f981506bae0fc39e99fffff53d23c6,1,1,"[[""J05_g0_c0_recipient"", ""swap""]]",swap
J05_g0_c0_recipient,swap,forged_opposite,2,"[[""J05_g0_c0_recipient"", ""keep""]]",forged,0,1,"[[""J05_g0_c0_recipient"", ""swap""]]",swap
J05_g0_c0_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J05_g0_c0_recipient,swap,old_replay,1,"[[""J05_g0_c0_recipient"", ""swap""]]",7094489d4988f1e5c9553e4aa7463d0259f981506bae0fc39e99fffff53d23c6,0,2,[],none
J05_g0_c0_color,keep,current,1,"[[""J05_g0_c0_color"", ""keep""]]",756a3a6e0747993bb303f65b70eb35511dea7203ff30f7cf8df62c812103c39b,1,1,"[[""J05_g0_c0_color"", ""keep""]]",keep
J05_g0_c0_color,keep,forged_opposite,2,"[[""J05_g0_c0_color"", ""swap""]]",forged,0,1,"[[""J05_g0_c0_color"", ""keep""]]",keep
J05_g0_c0_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J05_g0_c0_color,keep,old_replay,1,"[[""J05_g0_c0_color"", ""keep""]]",756a3a6e0747993bb303f65b70eb35511dea7203ff30f7cf8df62c812103c39b,0,2,[],none
J05_g0_c0_color,swap,current,1,"[[""J05_g0_c0_color"", ""swap""]]",087be021d370de6b21a4ea87b8fc41da11fcf3ccafc24533f6dc7360f851b4eb,1,1,"[[""J05_g0_c0_color"", ""swap""]]",swap
J05_g0_c0_color,swap,forged_opposite,2,"[[""J05_g0_c0_color"", ""keep""]]",forged,0,1,"[[""J05_g0_c0_color"", ""swap""]]",swap
J05_g0_c0_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J05_g0_c0_color,swap,old_replay,1,"[[""J05_g0_c0_color"", ""swap""]]",087be021d370de6b21a4ea87b8fc41da11fcf3ccafc24533f6dc7360f851b4eb,0,2,[],none
J05_g0_c1_recipient,keep,current,1,"[[""J05_g0_c1_recipient"", ""keep""]]",7c04c15bc2e807e76c7c93e6114d840ca1f175a91d12a70a1810d7cc20ca2748,1,1,"[[""J05_g0_c1_recipient"", ""keep""]]",keep
J05_g0_c1_recipient,keep,forged_opposite,2,"[[""J05_g0_c1_recipient"", ""swap""]]",forged,0,1,"[[""J05_g0_c1_recipient"", ""keep""]]",keep
J05_g0_c1_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J05_g0_c1_recipient,keep,old_replay,1,"[[""J05_g0_c1_recipient"", ""keep""]]",7c04c15bc2e807e76c7c93e6114d840ca1f175a91d12a70a1810d7cc20ca2748,0,2,[],none
J05_g0_c1_recipient,swap,current,1,"[[""J05_g0_c1_recipient"", ""swap""]]",270adc07c7239eaf6c33d5c1a9713b84c6542252d167f4a05c48b6b74766a254,1,1,"[[""J05_g0_c1_recipient"", ""swap""]]",swap
J05_g0_c1_recipient,swap,forged_opposite,2,"[[""J05_g0_c1_recipient"", ""keep""]]",forged,0,1,"[[""J05_g0_c1_recipient"", ""swap""]]",swap
J05_g0_c1_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J05_g0_c1_recipient,swap,old_replay,1,"[[""J05_g0_c1_recipient"", ""swap""]]",270adc07c7239eaf6c33d5c1a9713b84c6542252d167f4a05c48b6b74766a254,0,2,[],none
J05_g0_c1_color,keep,current,1,"[[""J05_g0_c1_color"", ""keep""]]",dd3f9a542f0e21455450ae3223e943749c6faf5dea356497af04d2bde4a32805,1,1,"[[""J05_g0_c1_color"", ""keep""]]",keep
J05_g0_c1_color,keep,forged_opposite,2,"[[""J05_g0_c1_color"", ""swap""]]",forged,0,1,"[[""J05_g0_c1_color"", ""keep""]]",keep
J05_g0_c1_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J05_g0_c1_color,keep,old_replay,1,"[[""J05_g0_c1_color"", ""keep""]]",dd3f9a542f0e21455450ae3223e943749c6faf5dea356497af04d2bde4a32805,0,2,[],none
J05_g0_c1_color,swap,current,1,"[[""J05_g0_c1_color"", ""swap""]]",aad8b4075869ba21a565bb4c2e4c6906aa182c06689078ef982dfffd3086354f,1,1,"[[""J05_g0_c1_color"", ""swap""]]",swap
J05_g0_c1_color,swap,forged_opposite,2,"[[""J05_g0_c1_color"", ""keep""]]",forged,0,1,"[[""J05_g0_c1_color"", ""swap""]]",swap
J05_g0_c1_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J05_g0_c1_color,swap,old_replay,1,"[[""J05_g0_c1_color"", ""swap""]]",aad8b4075869ba21a565bb4c2e4c6906aa182c06689078ef982dfffd3086354f,0,2,[],none
J05_g1_c0_recipient,keep,current,1,"[[""J05_g1_c0_recipient"", ""keep""]]",689119350f82e47d14e2e1b02766e2d8b881253f6f9fcfa09af999f7fe91b53a,1,1,"[[""J05_g1_c0_recipient"", ""keep""]]",keep
J05_g1_c0_recipient,keep,forged_opposite,2,"[[""J05_g1_c0_recipient"", ""swap""]]",forged,0,1,"[[""J05_g1_c0_recipient"", ""keep""]]",keep
J05_g1_c0_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J05_g1_c0_recipient,keep,old_replay,1,"[[""J05_g1_c0_recipient"", ""keep""]]",689119350f82e47d14e2e1b02766e2d8b881253f6f9fcfa09af999f7fe91b53a,0,2,[],none
J05_g1_c0_recipient,swap,current,1,"[[""J05_g1_c0_recipient"", ""swap""]]",45dcdde4956bbf572e26f1c84ad9022bc47b624f180e6894332149813d569bca,1,1,"[[""J05_g1_c0_recipient"", ""swap""]]",swap
J05_g1_c0_recipient,swap,forged_opposite,2,"[[""J05_g1_c0_recipient"", ""keep""]]",forged,0,1,"[[""J05_g1_c0_recipient"", ""swap""]]",swap
J05_g1_c0_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J05_g1_c0_recipient,swap,old_replay,1,"[[""J05_g1_c0_recipient"", ""swap""]]",45dcdde4956bbf572e26f1c84ad9022bc47b624f180e6894332149813d569bca,0,2,[],none
J05_g1_c0_color,keep,current,1,"[[""J05_g1_c0_color"", ""keep""]]",3ce1511249b362d722d549b458780a698111dc127b38044fdd288d3a7b24267a,1,1,"[[""J05_g1_c0_color"", ""keep""]]",keep
J05_g1_c0_color,keep,forged_opposite,2,"[[""J05_g1_c0_color"", ""swap""]]",forged,0,1,"[[""J05_g1_c0_color"", ""keep""]]",keep
J05_g1_c0_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J05_g1_c0_color,keep,old_replay,1,"[[""J05_g1_c0_color"", ""keep""]]",3ce1511249b362d722d549b458780a698111dc127b38044fdd288d3a7b24267a,0,2,[],none
J05_g1_c0_color,swap,current,1,"[[""J05_g1_c0_color"", ""swap""]]",54cf9ea76ca2284865337623134f9fadd9d13b748ad2a08d001c97442e7ea66d,1,1,"[[""J05_g1_c0_color"", ""swap""]]",swap
J05_g1_c0_color,swap,forged_opposite,2,"[[""J05_g1_c0_color"", ""keep""]]",forged,0,1,"[[""J05_g1_c0_color"", ""swap""]]",swap
J05_g1_c0_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J05_g1_c0_color,swap,old_replay,1,"[[""J05_g1_c0_color"", ""swap""]]",54cf9ea76ca2284865337623134f9fadd9d13b748ad2a08d001c97442e7ea66d,0,2,[],none
J05_g1_c1_recipient,keep,current,1,"[[""J05_g1_c1_recipient"", ""keep""]]",ae7c04f684e3f151cd6d54020b3fa3e594e8aa11b228ebe8c295c9817fe0c882,1,1,"[[""J05_g1_c1_recipient"", ""keep""]]",keep
J05_g1_c1_recipient,keep,forged_opposite,2,"[[""J05_g1_c1_recipient"", ""swap""]]",forged,0,1,"[[""J05_g1_c1_recipient"", ""keep""]]",keep
J05_g1_c1_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J05_g1_c1_recipient,keep,old_replay,1,"[[""J05_g1_c1_recipient"", ""keep""]]",ae7c04f684e3f151cd6d54020b3fa3e594e8aa11b228ebe8c295c9817fe0c882,0,2,[],none
J05_g1_c1_recipient,swap,current,1,"[[""J05_g1_c1_recipient"", ""swap""]]",fefec614fad66b2f9bee7967bc308025d8c4f2dea16a97036038c7efc54c7a4e,1,1,"[[""J05_g1_c1_recipient"", ""swap""]]",swap
J05_g1_c1_recipient,swap,forged_opposite,2,"[[""J05_g1_c1_recipient"", ""keep""]]",forged,0,1,"[[""J05_g1_c1_recipient"", ""swap""]]",swap
J05_g1_c1_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J05_g1_c1_recipient,swap,old_replay,1,"[[""J05_g1_c1_recipient"", ""swap""]]",fefec614fad66b2f9bee7967bc308025d8c4f2dea16a97036038c7efc54c7a4e,0,2,[],none
J05_g1_c1_color,keep,current,1,"[[""J05_g1_c1_color"", ""keep""]]",d5499e39787de11c0846a80bd980c59f54f6b2061f056439f65b034856a16a8e,1,1,"[[""J05_g1_c1_color"", ""keep""]]",keep
J05_g1_c1_color,keep,forged_opposite,2,"[[""J05_g1_c1_color"", ""swap""]]",forged,0,1,"[[""J05_g1_c1_color"", ""keep""]]",keep
J05_g1_c1_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J05_g1_c1_color,keep,old_replay,1,"[[""J05_g1_c1_color"", ""keep""]]",d5499e39787de11c0846a80bd980c59f54f6b2061f056439f65b034856a16a8e,0,2,[],none
J05_g1_c1_color,swap,current,1,"[[""J05_g1_c1_color"", ""swap""]]",942320ed0473ea7fd39014b23d25ec6c396cbd27f322d8388d2e4474398965b6,1,1,"[[""J05_g1_c1_color"", ""swap""]]",swap
J05_g1_c1_color,swap,forged_opposite,2,"[[""J05_g1_c1_color"", ""keep""]]",forged,0,1,"[[""J05_g1_c1_color"", ""swap""]]",swap
J05_g1_c1_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J05_g1_c1_color,swap,old_replay,1,"[[""J05_g1_c1_color"", ""swap""]]",942320ed0473ea7fd39014b23d25ec6c396cbd27f322d8388d2e4474398965b6,0,2,[],none
J06_g0_c0_recipient,keep,current,1,"[[""J06_g0_c0_recipient"", ""keep""]]",6128189d12433ce23e80f9e811ded445ea0ad36ee8773ef6b8f18be68d76d717,1,1,"[[""J06_g0_c0_recipient"", ""keep""]]",keep
J06_g0_c0_recipient,keep,forged_opposite,2,"[[""J06_g0_c0_recipient"", ""swap""]]",forged,0,1,"[[""J06_g0_c0_recipient"", ""keep""]]",keep
J06_g0_c0_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J06_g0_c0_recipient,keep,old_replay,1,"[[""J06_g0_c0_recipient"", ""keep""]]",6128189d12433ce23e80f9e811ded445ea0ad36ee8773ef6b8f18be68d76d717,0,2,[],none
J06_g0_c0_recipient,swap,current,1,"[[""J06_g0_c0_recipient"", ""swap""]]",a89b408937a34f423572182677d26ac87ea2332ac593b7387bf977e8c379654c,1,1,"[[""J06_g0_c0_recipient"", ""swap""]]",swap
J06_g0_c0_recipient,swap,forged_opposite,2,"[[""J06_g0_c0_recipient"", ""keep""]]",forged,0,1,"[[""J06_g0_c0_recipient"", ""swap""]]",swap
J06_g0_c0_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J06_g0_c0_recipient,swap,old_replay,1,"[[""J06_g0_c0_recipient"", ""swap""]]",a89b408937a34f423572182677d26ac87ea2332ac593b7387bf977e8c379654c,0,2,[],none
J06_g0_c0_color,keep,current,1,"[[""J06_g0_c0_color"", ""keep""]]",7f8330a7cda46cf79cdb653490b3fbc844d90f394ebe76807dfacc63c5e693cc,1,1,"[[""J06_g0_c0_color"", ""keep""]]",keep
J06_g0_c0_color,keep,forged_opposite,2,"[[""J06_g0_c0_color"", ""swap""]]",forged,0,1,"[[""J06_g0_c0_color"", ""keep""]]",keep
J06_g0_c0_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J06_g0_c0_color,keep,old_replay,1,"[[""J06_g0_c0_color"", ""keep""]]",7f8330a7cda46cf79cdb653490b3fbc844d90f394ebe76807dfacc63c5e693cc,0,2,[],none
J06_g0_c0_color,swap,current,1,"[[""J06_g0_c0_color"", ""swap""]]",8b629d58a6295e24312ec81bfa04ecbb04814867c9acecff7a53cd32cf65df11,1,1,"[[""J06_g0_c0_color"", ""swap""]]",swap
J06_g0_c0_color,swap,forged_opposite,2,"[[""J06_g0_c0_color"", ""keep""]]",forged,0,1,"[[""J06_g0_c0_color"", ""swap""]]",swap
J06_g0_c0_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J06_g0_c0_color,swap,old_replay,1,"[[""J06_g0_c0_color"", ""swap""]]",8b629d58a6295e24312ec81bfa04ecbb04814867c9acecff7a53cd32cf65df11,0,2,[],none
J06_g0_c1_recipient,keep,current,1,"[[""J06_g0_c1_recipient"", ""keep""]]",b0250398d455f159d28e8ab185f00577d2a5619e00d53d13e0bc4b9586bf471d,1,1,"[[""J06_g0_c1_recipient"", ""keep""]]",keep
J06_g0_c1_recipient,keep,forged_opposite,2,"[[""J06_g0_c1_recipient"", ""swap""]]",forged,0,1,"[[""J06_g0_c1_recipient"", ""keep""]]",keep
J06_g0_c1_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J06_g0_c1_recipient,keep,old_replay,1,"[[""J06_g0_c1_recipient"", ""keep""]]",b0250398d455f159d28e8ab185f00577d2a5619e00d53d13e0bc4b9586bf471d,0,2,[],none
J06_g0_c1_recipient,swap,current,1,"[[""J06_g0_c1_recipient"", ""swap""]]",5510a044306cfcc01b8fde8f8fca6eccf9a00f689538a15845b6080e9ec3ddc1,1,1,"[[""J06_g0_c1_recipient"", ""swap""]]",swap
J06_g0_c1_recipient,swap,forged_opposite,2,"[[""J06_g0_c1_recipient"", ""keep""]]",forged,0,1,"[[""J06_g0_c1_recipient"", ""swap""]]",swap
