id,case,family,query,candidate,top_id,top_text,word_a,word_b,word_a_id,word_b_id,word_a_logit,word_b_logit,word_a_probability,word_b_probability,edit_norm,capped
J00_g0_c0_color/reflection_capped,J00_g0_c0_color,J00,color,reflection_capped,2266, red,red,blue,2266,4171,-111.0225830078125,-112.23462677001953,0.08922138297991856,0.026551253733043845,35.319522857666016,0
J00_g0_c0_color/donor,J00_g0_c0_color,J00,color,donor,2266, red,red,blue,2266,4171,-112.28665924072266,-113.27632141113281,0.09542593506117128,0.03547003399090067,5.919430255889893,0
J00_g0_c1_recipient/d6_internal,J00_g0_c1_recipient,J00,recipient,d6_internal,262, the,William,Elizabeth,3977,10674,-80.29878997802734,-80.72599029541016,0.05497394161484759,0.03586130886290463,20.818174362182617,0
J00_g0_c1_recipient/d6_task,J00_g0_c1_recipient,J00,recipient,d6_task,3977, William,William,Elizabeth,3977,10674,-81.45042419433594,-83.71525573730469,0.1390165509298861,0.014436525014111273,32.249473571777344,0
J00_g0_c1_recipient/d6_yoked,J00_g0_c1_recipient,J00,recipient,d6_yoked,262, the,William,Elizabeth,3977,10674,-81.8262710571289,-82.10539245605469,0.04965929691977008,0.037564679096900803,19.4487361907959,0
J00_g0_c1_recipient/d6_ridge,J00_g0_c1_recipient,J00,recipient,d6_ridge,262, the,William,Elizabeth,3977,10674,-81.59915161132812,-81.481201171875,0.04475362944195813,0.050356262246139254,17.368200302124023,0
J00_g0_c1_recipient/reflection,J00_g0_c1_recipient,J00,recipient,reflection,262, the,William,Elizabeth,3977,10674,-81.80335998535156,-81.64694213867188,0.04418917070339787,0.0516710466760853,17.462413787841797,0
J00_g0_c1_recipient/reflection_capped,J00_g0_c1_recipient,J00,recipient,reflection_capped,262, the,William,Elizabeth,3977,10674,-81.80335998535156,-81.64694213867188,0.04418917070339787,0.0516710466760853,17.462413787841797,0
J00_g0_c1_recipient/donor,J00_g0_c1_recipient,J00,recipient,donor,262, the,William,Elizabeth,3977,10674,-83.39695739746094,-84.83578491210938,0.08932398156589771,0.02118815899679886,27.96017074584961,0
J00_g0_c1_color/d6_internal,J00_g0_c1_color,J00,color,d6_internal,2266, red,red,blue,2266,4171,-103.2606201171875,-103.3676528930664,0.05077375426041473,0.0456200264561166,64.57799530029297,0
J00_g0_c1_color/d6_task,J00_g0_c1_color,J00,color,d6_task,4171, blue,red,blue,2266,4171,-115.415771484375,-114.59243774414062,0.05815756808354493,0.13248769303278696,25.843124389648438,0
J00_g0_c1_color/d6_yoked,J00_g0_c1_color,J00,color,d6_yoked,4171, blue,red,blue,2266,4171,-104.47593688964844,-104.28752136230469,0.06053211943314087,0.07308255197730561,69.50834655761719,1
J00_g0_c1_color/d6_ridge,J00_g0_c1_color,J00,color,d6_ridge,4171, blue,red,blue,2266,4171,-110.63134002685547,-110.44136810302734,0.07175430858183761,0.08676643267928644,33.80016326904297,0
J00_g0_c1_color/reflection,J00_g0_c1_color,J00,color,reflection,4171, blue,red,blue,2266,4171,-110.51166534423828,-110.50829315185547,0.06786517536206711,0.06809441609416894,36.225608825683594,0
J00_g0_c1_color/reflection_capped,J00_g0_c1_color,J00,color,reflection_capped,4171, blue,red,blue,2266,4171,-110.51166534423828,-110.50829315185547,0.06786517536206711,0.06809441609416894,36.225608825683594,0
J00_g0_c1_color/donor,J00_g0_c1_color,J00,color,donor,4171, blue,red,blue,2266,4171,-112.10540008544922,-111.62774658203125,0.06796398922301518,0.10957743826455993,6.11676549911499,0
J00_g1_c0_recipient/d6_internal,J00_g1_c0_recipient,J00,recipient,d6_internal,3977, William,William,Elizabeth,3977,10674,-80.53675842285156,-83.72346496582031,0.2511881782656728,0.0103760039684,15.542486190795898,0
J00_g1_c0_recipient/d6_task,J00_g1_c0_recipient,J00,recipient,d6_task,607, her,William,Elizabeth,3977,10674,-79.26058959960938,-80.8648681640625,0.11349550528207165,0.02281651625008602,11.075469017028809,0
J00_g1_c0_recipient/d6_yoked,J00_g1_c0_recipient,J00,recipient,d6_yoked,607, her,William,Elizabeth,3977,10674,-79.92829895019531,-80.01342010498047,0.0527807529650858,0.04847389677806414,17.48072052001953,0
J00_g1_c0_recipient/d6_ridge,J00_g1_c0_recipient,J00,recipient,d6_ridge,607, her,William,Elizabeth,3977,10674,-77.22988891601562,-75.28386688232422,0.010917743324646949,0.07643275444506398,29.880271911621094,0
J00_g1_c0_recipient/reflection,J00_g1_c0_recipient,J00,recipient,reflection,607, her,William,Elizabeth,3977,10674,-78.23013305664062,-76.28947448730469,0.011891809028169976,0.0828066535870316,30.33055877685547,0
J00_g1_c0_recipient/reflection_capped,J00_g1_c0_recipient,J00,recipient,reflection_capped,607, her,William,Elizabeth,3977,10674,-78.23013305664062,-76.28947448730469,0.011891809028169976,0.0828066535870316,30.33055877685547,0
J00_g1_c0_recipient/donor,J00_g1_c0_recipient,J00,recipient,donor,607, her,William,Elizabeth,3977,10674,-78.73686981201172,-77.0154037475586,0.014364812357834756,0.08033839847124218,29.50972557067871,0
J00_g1_c0_color/d6_internal,J00_g1_c0_color,J00,color,d6_internal,2266, red,red,blue,2266,4171,-104.27928924560547,-104.94120788574219,0.05394152552245102,0.02782630952688386,62.72771072387695,0
J00_g1_c0_color/d6_task,J00_g1_c0_color,J00,color,d6_task,2266, red,red,blue,2266,4171,-114.58369445800781,-115.31005859375,0.09823269948479761,0.047511653264382094,26.68381118774414,0
J00_g1_c0_color/d6_yoked,J00_g1_c0_color,J00,color,d6_yoked,2266, red,red,blue,2266,4171,-105.95195770263672,-107.20365142822266,0.10109823983544203,0.02891611320684666,69.50833892822266,1
J00_g1_c0_color/d6_ridge,J00_g1_c0_color,J00,color,d6_ridge,2266, red,red,blue,2266,4171,-111.54730224609375,-112.70954132080078,0.1042614920021822,0.03261143569103165,33.507591247558594,0
J00_g1_c0_color/reflection,J00_g1_c0_color,J00,color,reflection,2266, red,red,blue,2266,4171,-110.71812438964844,-111.95073699951172,0.09507913271839802,0.027718412705849144,35.70337677001953,0
J00_g1_c0_color/reflection_capped,J00_g1_c0_color,J00,color,reflection_capped,2266, red,red,blue,2266,4171,-110.71812438964844,-111.95073699951172,0.09507913271839802,0.027718412705849144,35.70337677001953,0
J00_g1_c0_color/donor,J00_g1_c0_color,J00,color,donor,2266, red,red,blue,2266,4171,-112.76930236816406,-113.82855987548828,0.10190071762983487,0.03533031846604217,5.919430255889893,0
J00_g1_c1_recipient/d6_internal,J00_g1_c1_recipient,J00,recipient,d6_internal,3977, William,William,Elizabeth,3977,10674,-82.75090026855469,-84.91650390625,0.17717864759177604,0.02031896922479421,5.381977558135986,0
J00_g1_c1_recipient/d6_task,J00_g1_c1_recipient,J00,recipient,d6_task,607, her,William,Elizabeth,3977,10674,-80.48564910888672,-81.25850677490234,0.07299291371793006,0.033700231206568516,15.538983345031738,0
J00_g1_c1_recipient/d6_yoked,J00_g1_c1_recipient,J00,recipient,d6_yoked,607, her,William,Elizabeth,3977,10674,-81.43524169921875,-82.32669067382812,0.09145258531876714,0.03750115266082848,12.039508819580078,0
J00_g1_c1_recipient/d6_ridge,J00_g1_c1_recipient,J00,recipient,d6_ridge,607, her,William,Elizabeth,3977,10674,-78.9830551147461,-76.93111419677734,0.01081947571701032,0.08420789950723293,29.879865646362305,0
J00_g1_c1_recipient/reflection,J00_g1_c1_recipient,J00,recipient,reflection,607, her,William,Elizabeth,3977,10674,-79.04301452636719,-76.96451568603516,0.009672250665679508,0.07730509534709228,30.033475875854492,0
J00_g1_c1_recipient/reflection_capped,J00_g1_c1_recipient,J00,recipient,reflection_capped,607, her,William,Elizabeth,3977,10674,-79.04301452636719,-76.96451568603516,0.009672250665679508,0.07730509534709228,30.033475875854492,0
J00_g1_c1_recipient/donor,J00_g1_c1_recipient,J00,recipient,donor,607, her,William,Elizabeth,3977,10674,-79.94457244873047,-78.31788635253906,0.016766705737417988,0.08529204703222108,27.96017074584961,0
J00_g1_c1_color/d6_internal,J00_g1_c1_color,J00,color,d6_internal,4171, blue,red,blue,2266,4171,-102.84608459472656,-102.75164031982422,0.052125382352173455,0.05728829289041868,62.535736083984375,0
J00_g1_c1_color/d6_task,J00_g1_c1_color,J00,color,d6_task,4171, blue,red,blue,2266,4171,-113.66019439697266,-112.59027099609375,0.05998502342025224,0.1748657125121367,26.635353088378906,0
J00_g1_c1_color/d6_yoked,J00_g1_c1_color,J00,color,d6_yoked,4171, blue,red,blue,2266,4171,-102.95907592773438,-102.45570373535156,0.05963858810609658,0.09865954740685541,69.50833892822266,1
J00_g1_c1_color/d6_ridge,J00_g1_c1_color,J00,color,d6_ridge,4171, blue,red,blue,2266,4171,-110.08527374267578,-109.67015838623047,0.06845640657555836,0.10368033863644194,33.63954544067383,0
J00_g1_c1_color/reflection,J00_g1_c1_color,J00,color,reflection,4171, blue,red,blue,2266,4171,-109.81330871582031,-109.57238006591797,0.06700421432417067,0.08525818878468945,36.01682662963867,0
J00_g1_c1_color/reflection_capped,J00_g1_c1_color,J00,color,reflection_capped,4171, blue,red,blue,2266,4171,-109.81330871582031,-109.57238006591797,0.06700421432417067,0.08525818878468945,36.01682662963867,0
J00_g1_c1_color/donor,J00_g1_c1_color,J00,color,donor,4171, blue,red,blue,2266,4171,-112.33363342285156,-111.83440399169922,0.06452165547619465,0.1062962856318404,6.11676549911499,0
J01_g0_c0_recipient/none,J01_g0_c0_recipient,J01,recipient,none,14919, Susan,Joseph,Susan,7212,14919,-72.16893005371094,-70.5866470336914,0.04507107412925338,0.21931820999828203,0.0,0
J01_g0_c0_color/none,J01_g0_c0_color,J01,color,none,2266, red,red,blue,2266,4171,-111.64785766601562,-112.5815200805664,0.09601505922795425,0.03774460801949279,0.0,0
J01_g0_c1_recipient/none,J01_g0_c1_recipient,J01,recipient,none,14919, Susan,Joseph,Susan,7212,14919,-71.72503662109375,-70.09585571289062,0.044153419676903775,0.22516901277975984,0.0,0
J01_g0_c1_color/none,J01_g0_c1_color,J01,color,none,4171, blue,red,blue,2266,4171,-112.5416259765625,-112.13398742675781,0.0512672757290628,0.0770682350115057,0.0,0
J01_g1_c0_recipient/none,J01_g1_c0_recipient,J01,recipient,none,7212, Joseph,Joseph,Susan,7212,14919,-81.19608306884766,-86.0390853881836,0.47690177723388394,0.003759583697792241,0.0,0
J01_g1_c0_color/none,J01_g1_c0_color,J01,color,none,2266, red,red,blue,2266,4171,-112.91458129882812,-113.99414825439453,0.0730347404549824,0.02481301388647047,0.0,0
J01_g1_c1_recipient/none,J01_g1_c1_recipient,J01,recipient,none,7212, Joseph,Joseph,Susan,7212,14919,-82.63566589355469,-87.32666015625,0.5193288204990394,0.004766169704481414,0.0,0
J01_g1_c1_color/none,J01_g1_c1_color,J01,color,none,4171, blue,red,blue,2266,4171,-112.80108642578125,-112.27769470214844,0.0422680309172118,0.07133754407269227,0.0,0
J01_g0_c0_recipient/d6_internal,J01_g0_c0_recipient,J01,recipient,d6_internal,7212, Joseph,Joseph,Susan,7212,14919,-75.0478515625,-75.84849548339844,0.16195908772040768,0.07272606420158982,22.334613800048828,0
J01_g0_c0_recipient/d6_task,J01_g0_c0_recipient,J01,recipient,d6_task,7212, Joseph,Joseph,Susan,7212,14919,-78.02630615234375,-79.55156707763672,0.21964161940440421,0.04778617109885312,23.728322982788086,0
J01_g0_c0_recipient/d6_yoked,J01_g0_c0_recipient,J01,recipient,d6_yoked,262, the,Joseph,Susan,7212,14919,-73.55699157714844,-73.50458526611328,0.10767135276628989,0.11346448367484316,14.46053409576416,0
J01_g0_c0_recipient/d6_ridge,J01_g0_c0_recipient,J01,recipient,d6_ridge,7212, Joseph,Joseph,Susan,7212,14919,-78.02920532226562,-79.71868896484375,0.22748120544738504,0.041996403303358895,24.159229278564453,0
J01_g0_c0_recipient/reflection,J01_g0_c0_recipient,J01,recipient,reflection,7212, Joseph,Joseph,Susan,7212,14919,-78.43496704101562,-80.11101531982422,0.22698677175961257,0.04247193321311722,24.2514591217041,0
J01_g0_c0_recipient/reflection_capped,J01_g0_c0_recipient,J01,recipient,reflection_capped,7212, Joseph,Joseph,Susan,7212,14919,-78.43496704101562,-80.11101531982422,0.22698677175961257,0.04247193321311722,24.2514591217041,0
J01_g0_c0_recipient/donor,J01_g0_c0_recipient,J01,recipient,donor,7212, Joseph,Joseph,Susan,7212,14919,-80.99739837646484,-85.4361801147461,0.38117263358322667,0.004501769945830273,33.74112319946289,0
J01_g0_c0_color/d6_internal,J01_g0_c0_color,J01,color,d6_internal,257, a,red,blue,2266,4171,-99.84717559814453,-100.80130767822266,0.04827004822096363,0.01859102929813438,65.55110168457031,0
J01_g0_c0_color/d6_task,J01_g0_c0_color,J01,color,d6_task,2266, red,red,blue,2266,4171,-114.35562896728516,-114.91358184814453,0.08596257732190159,0.049203225154485726,26.058895111083984,0
J01_g0_c0_color/d6_yoked,J01_g0_c0_color,J01,color,d6_yoked,2266, red,red,blue,2266,4171,-102.73706817626953,-104.43873596191406,0.09741017055221833,0.017765579335574128,69.50834655761719,1
J01_g0_c0_color/d6_ridge,J01_g0_c0_color,J01,color,d6_ridge,2266, red,red,blue,2266,4171,-111.54131317138672,-112.731201171875,0.09784623262012661,0.02977023863734048,33.601375579833984,0
J01_g0_c0_color/reflection,J01_g0_c0_color,J01,color,reflection,2266, red,red,blue,2266,4171,-110.76290130615234,-112.06327819824219,0.09441130470827876,0.0257203865176118,35.954498291015625,0
J01_g0_c0_color/reflection_capped,J01_g0_c0_color,J01,color,reflection_capped,2266, red,red,blue,2266,4171,-110.76290130615234,-112.06327819824219,0.09441130470827876,0.0257203865176118,35.954498291015625,0
J01_g0_c0_color/donor,J01_g0_c0_color,J01,color,donor,2266, red,red,blue,2266,4171,-113.01712799072266,-114.0172119140625,0.06850584966721708,0.025199778754209177,7.179229259490967,0
J01_g0_c1_recipient/d6_internal,J01_g0_c1_recipient,J01,recipient,d6_internal,262, the,Joseph,Susan,7212,14919,-73.6629638671875,-73.95813751220703,0.13193455366384974,0.09821238710830986,16.889034271240234,0
J01_g0_c1_recipient/d6_task,J01_g0_c1_recipient,J01,recipient,d6_task,7212, Joseph,Joseph,Susan,7212,14919,-78.98489379882812,-80.80026245117188,0.24915203418537804,0.04055644213422166,25.16596031188965,0
J01_g0_c1_recipient/d6_yoked,J01_g0_c1_recipient,J01,recipient,d6_yoked,7212, Joseph,Joseph,Susan,7212,14919,-75.87779998779297,-76.80658721923828,0.17999040323491053,0.07110205950196014,18.636629104614258,0
J01_g0_c1_recipient/d6_ridge,J01_g0_c1_recipient,J01,recipient,d6_ridge,7212, Joseph,Joseph,Susan,7212,14919,-78.27075958251953,-79.9110107421875,0.23505533637728016,0.04558459364187571,23.841903686523438,0
J01_g0_c1_recipient/reflection,J01_g0_c1_recipient,J01,recipient,reflection,7212, Joseph,Joseph,Susan,7212,14919,-77.75299072265625,-79.41464233398438,0.2283692849794203,0.04335024601670427,24.18855857849121,0
J01_g0_c1_recipient/reflection_capped,J01_g0_c1_recipient,J01,recipient,reflection_capped,7212, Joseph,Joseph,Susan,7212,14919,-77.75299072265625,-79.41464233398438,0.2283692849794203,0.04335024601670427,24.18855857849121,0
J01_g0_c1_recipient/donor,J01_g0_c1_recipient,J01,recipient,donor,7212, Joseph,Joseph,Susan,7212,14919,-82.06459045410156,-86.07173156738281,0.38278862155978005,0.006961130028700532,32.24659729003906,0
J01_g0_c1_color/d6_internal,J01_g0_c1_color,J01,color,d6_internal,257, a,red,blue,2266,4171,-100.38490295410156,-100.8333969116211,0.03639234126774896,0.023239755011465205,66.872802734375,0
J01_g0_c1_color/d6_task,J01_g0_c1_color,J01,color,d6_task,4171, blue,red,blue,2266,4171,-113.76140594482422,-113.0652847290039,0.04652638960990382,0.09332993339514446,26.310453414916992,0
J01_g0_c1_color/d6_yoked,J01_g0_c1_color,J01,color,d6_yoked,2266, red,red,blue,2266,4171,-103.3003158569336,-103.8116226196289,0.05646229579728202,0.033861081673828376,69.50834655761719,1
J01_g0_c1_color/d6_ridge,J01_g0_c1_color,J01,color,d6_ridge,4171, blue,red,blue,2266,4171,-111.99321746826172,-111.93051147460938,0.058397085910840835,0.06217618094856031,33.75685501098633,0
J01_g0_c1_color/reflection,J01_g0_c1_color,J01,color,reflection,257, a,red,blue,2266,4171,-110.68244934082031,-110.83061981201172,0.05520944581757584,0.04760622772965699,36.019283294677734,0
J01_g0_c1_color/reflection_capped,J01_g0_c1_color,J01,color,reflection_capped,257, a,red,blue,2266,4171,-110.68244934082031,-110.83061981201172,0.05520944581757584,0.04760622772965699,36.019283294677734,0
J01_g0_c1_color/donor,J01_g0_c1_color,J01,color,donor,4171, blue,red,blue,2266,4171,-111.55992126464844,-111.19241333007812,0.046599226444563796,0.06729539946271672,6.592432498931885,0
J01_g1_c0_recipient/d6_internal,J01_g1_c0_recipient,J01,recipient,d6_internal,7212, Joseph,Joseph,Susan,7212,14919,-82.69860076904297,-87.7870864868164,0.47943067592405686,0.0029568177050011643,10.442864418029785,0
J01_g1_c0_recipient/d6_task,J01_g1_c0_recipient,J01,recipient,d6_task,7212, Joseph,Joseph,Susan,7212,14919,-79.8829574584961,-84.53570556640625,0.49537001724387403,0.004723532284141358,12.848516464233398,0
J01_g1_c0_recipient/d6_yoked,J01_g1_c0_recipient,J01,recipient,d6_yoked,7212, Joseph,Joseph,Susan,7212,14919,-80.64588928222656,-84.95925903320312,0.4672255547914197,0.006255383023380584,7.465671062469482,0
J01_g1_c0_recipient/d6_ridge,J01_g1_c0_recipient,J01,recipient,d6_ridge,607, her,Joseph,Susan,7212,14919,-73.90848541259766,-73.63993835449219,0.059022627102147646,0.07720528696557435,35.68573760986328,0
J01_g1_c0_recipient/reflection,J01_g1_c0_recipient,J01,recipient,reflection,607, her,Joseph,Susan,7212,14919,-73.39083099365234,-73.0958023071289,0.058708172529810025,0.07885475603145135,35.76213836669922,0
J01_g1_c0_recipient/reflection_capped,J01_g1_c0_recipient,J01,recipient,reflection_capped,607, her,Joseph,Susan,7212,14919,-73.39083099365234,-73.0958023071289,0.058708172529810025,0.07885475603145135,35.76213836669922,0
J01_g1_c0_recipient/donor,J01_g1_c0_recipient,J01,recipient,donor,262, the,Joseph,Susan,7212,14919,-73.56759643554688,-73.18054962158203,0.07499560594634111,0.11044043638693726,33.74112319946289,0
J01_g1_c0_color/d6_internal,J01_g1_c0_color,J01,color,d6_internal,257, a,red,blue,2266,4171,-100.54605865478516,-101.6107177734375,0.03335386465235074,0.011501926333763852,68.72598266601562,0
J01_g1_c0_color/d6_task,J01_g1_c0_color,J01,color,d6_task,2266, red,red,blue,2266,4171,-115.61820983886719,-116.325927734375,0.061486649868033955,0.030298620409037393,26.51983070373535,0
J01_g1_c0_color/d6_yoked,J01_g1_c0_color,J01,color,d6_yoked,2266, red,red,blue,2266,4171,-104.33866119384766,-106.13353729248047,0.0854312222909607,0.01419422988561507,69.50834655761719,1
J01_g1_c0_color/d6_ridge,J01_g1_c0_color,J01,color,d6_ridge,2266, red,red,blue,2266,4171,-112.92399597167969,-114.26543426513672,0.07677698579239288,0.0200748269099596,34.278255462646484,0
J01_g1_c0_color/reflection,J01_g1_c0_color,J01,color,reflection,2266, red,red,blue,2266,4171,-112.03607940673828,-113.44165802001953,0.06940419793048945,0.017019653104769054,36.79449462890625,0
J01_g1_c0_color/reflection_capped,J01_g1_c0_color,J01,color,reflection_capped,2266, red,red,blue,2266,4171,-112.03607940673828,-113.44165802001953,0.06940419793048945,0.017019653104769054,36.79449462890625,0
J01_g1_c0_color/donor,J01_g1_c0_color,J01,color,donor,2266, red,red,blue,2266,4171,-113.13076782226562,-114.09933471679688,0.09391230845769033,0.0356516191427984,7.179229259490967,0
J01_g1_c1_recipient/d6_internal,J01_g1_c1_recipient,J01,recipient,d6_internal,7212, Joseph,Joseph,Susan,7212,14919,-84.43180847167969,-89.71863555908203,0.5259519556173945,0.002660150717847227,10.071094512939453,0
J01_g1_c1_recipient/d6_task,J01_g1_c1_recipient,J01,recipient,d6_task,7212, Joseph,Joseph,Susan,7212,14919,-80.62234497070312,-85.22893524169922,0.5185302019128469,0.005177943675442512,13.914774894714355,0
J01_g1_c1_recipient/d6_yoked,J01_g1_c1_recipient,J01,recipient,d6_yoked,7212, Joseph,Joseph,Susan,7212,14919,-80.46074676513672,-84.17274475097656,0.45745571146441233,0.011175032945601042,12.2207670211792,0
J01_g1_c1_recipient/d6_ridge,J01_g1_c1_recipient,J01,recipient,d6_ridge,607, her,Joseph,Susan,7212,14919,-75.46568298339844,-75.22000885009766,0.06828084378153566,0.08729589053413253,32.510498046875,0
J01_g1_c1_recipient/reflection,J01_g1_c1_recipient,J01,recipient,reflection,607, her,Joseph,Susan,7212,14919,-75.24330139160156,-74.95116424560547,0.06345297312698413,0.08498172189625358,32.58323287963867,0
J01_g1_c1_recipient/reflection_capped,J01_g1_c1_recipient,J01,recipient,reflection_capped,607, her,Joseph,Susan,7212,14919,-75.24330139160156,-74.95116424560547,0.06345297312698413,0.08498172189625358,32.58323287963867,0
J01_g1_c1_recipient/donor,J01_g1_c1_recipient,J01,recipient,donor,262, the,Joseph,Susan,7212,14919,-73.6260986328125,-73.14869689941406,0.07009583073991632,0.11298612796190176,32.24659729003906,0
J01_g1_c1_color/d6_internal,J01_g1_c1_color,J01,color,d6_internal,257, a,red,blue,2266,4171,-101.34022521972656,-101.52922058105469,0.03172652812302234,0.026262913709265513,64.2100830078125,0
J01_g1_c1_color/d6_task,J01_g1_c1_color,J01,color,d6_task,4171, blue,red,blue,2266,4171,-114.4713363647461,-113.58189392089844,0.03959666860624736,0.09636927555100364,26.179956436157227,0
J01_g1_c1_color/d6_yoked,J01_g1_c1_color,J01,color,d6_yoked,2266, red,red,blue,2266,4171,-103.95098114013672,-103.9620132446289,0.04863565856014339,0.048102053697122324,69.50833892822266,1
J01_g1_c1_color/d6_ridge,J01_g1_c1_color,J01,color,d6_ridge,4171, blue,red,blue,2266,4171,-111.8411865234375,-111.55850982666016,0.04724361609523363,0.06267697983731703,33.51008605957031,0
J01_g1_c1_color/reflection,J01_g1_c1_color,J01,color,reflection,257, a,red,blue,2266,4171,-111.50904083251953,-111.40209197998047,0.045780755091627275,0.050948364591269835,35.75168228149414,0
J01_g1_c1_color/reflection_capped,J01_g1_c1_color,J01,color,reflection_capped,257, a,red,blue,2266,4171,-111.50904083251953,-111.40209197998047,0.045780755091627275,0.050948364591269835,35.75168228149414,0
J01_g1_c1_color/donor,J01_g1_c1_color,J01,color,donor,4171, blue,red,blue,2266,4171,-113.31362915039062,-112.78516387939453,0.04919344502536838,0.08344816448058642,6.592432498931885,0
J02_g0_c0_recipient/none,J02_g0_c0_recipient,J02,recipient,none,10674, Elizabeth,William,Elizabeth,3977,10674,-78.60694122314453,-74.93787384033203,0.008981098122563229,0.3521966002127787,0.0,0
J02_g0_c0_color/none,J02_g0_c0_color,J02,color,none,2266, red,red,blue,2266,4171,-115.09136199951172,-116.29861450195312,0.08861119112580455,0.0264963147654802,0.0,0
J02_g0_c1_recipient/none,J02_g0_c1_recipient,J02,recipient,none,10674, Elizabeth,William,Elizabeth,3977,10674,-78.72664642333984,-75.35812377929688,0.01099223827803226,0.31916622759130064,0.0,0
J02_g0_c1_color/none,J02_g0_c1_color,J02,color,none,2266, red,red,blue,2266,4171,-114.7363052368164,-114.92993927001953,0.07001232779941254,0.05768731496749896,0.0,0
J02_g1_c0_recipient/none,J02_g1_c0_recipient,J02,recipient,none,3977, William,William,Elizabeth,3977,10674,-82.80728149414062,-84.38389587402344,0.25550354111412515,0.05280584520427768,0.0,0
