arm,intent,query,cases,correct,invalid,prohibited_proposal,useful_execution,unauthorized_execution,capped,mean_target_probability,mean_contrast,mean_edit_norm,original_top1_unchanged,baseline_natural_target_correct,natural_baseline_correct_to_requested_incorrect
reflection,swap,color,32,17,12,0,0,0,0,0.06159735753661536,0.5638751983642578,35.02070951461792,21,24,7
reflection_capped,keep,recipient,32,24,8,0,24,0,0,0.2639382098320545,2.255357265472412,0.0,32,24,0
reflection_capped,keep,color,32,24,4,0,0,0,0,0.07271060381382011,0.5954523086547852,0.0,32,24,0
reflection_capped,swap,recipient,32,6,26,0,6,0,0,0.11880321817046613,0.8121495246887207,22.845978379249573,8,24,18
reflection_capped,swap,color,32,17,12,0,0,0,0,0.06159735753661536,0.5638751983642578,35.02070951461792,21,24,7
intent_blind_reflection,keep,recipient,32,0,26,6,0,0,0,0.05168161072569346,-0.8121495246887207,22.845978379249573,8,24,24
intent_blind_reflection,keep,color,32,17,12,0,0,0,0,0.06159735753661536,0.5638751983642578,35.02070951461792,21,24,7
intent_blind_reflection,swap,recipient,32,6,26,0,6,0,0,0.11880321817046613,0.8121495246887207,22.845978379249573,8,24,18
intent_blind_reflection,swap,color,32,17,12,0,0,0,0,0.06159735753661536,0.5638751983642578,35.02070951461792,21,24,7
wrong_intent_reflection,keep,recipient,32,0,26,6,0,0,0,0.05168161072569346,-0.8121495246887207,22.845978379249573,8,24,24
wrong_intent_reflection,keep,color,32,17,12,0,0,0,0,0.06159735753661536,0.5638751983642578,35.02070951461792,21,24,7
wrong_intent_reflection,swap,recipient,32,0,8,24,0,0,0,0.019751430152123276,-2.255357265472412,0.0,32,24,24
wrong_intent_reflection,swap,color,32,24,4,0,0,0,0,0.07271060381382011,0.5954523086547852,0.0,32,24,0
current_donor_oracle,keep,recipient,32,24,8,0,24,0,0,0.2639382098320545,2.255357265472412,0.0,32,24,0
current_donor_oracle,keep,color,32,24,4,0,0,0,0,0.07271060381382011,0.5954523086547852,0.0,32,24,0
current_donor_oracle,swap,recipient,32,12,20,0,12,0,0,0.1568675451401479,1.5291244983673096,24.358103334903717,8,24,12
current_donor_oracle,swap,color,32,23,4,0,0,0,0,0.07338923322255415,0.59450364112854,6.737345397472382,28,24,1
textual_update,keep,recipient,32,24,8,0,24,0,0,0.2639382098320545,2.255357265472412,0.0,32,24,0
textual_update,keep,color,32,24,4,0,0,0,0,0.07271060381382011,0.5954523086547852,0.0,32,24,0
textual_update,swap,recipient,32,24,8,0,24,0,0,0.2639382098320545,2.255357265472412,0.0,8,24,0
textual_update,swap,color,32,24,4,0,0,0,0,0.07271060381382011,0.5954523086547852,0.0,24,24,2
revoked_reflection,keep,recipient,32,24,8,0,24,0,0,0.2639382098320545,2.255357265472412,0.0,32,24,0
revoked_reflection,keep,color,32,24,4,0,0,0,0,0.07271060381382011,0.5954523086547852,0.0,32,24,0
revoked_reflection,swap,recipient,32,0,8,24,0,0,0,0.019751430152123276,-2.255357265472412,0.0,32,24,24
revoked_reflection,swap,color,32,24,4,0,0,0,0,0.07271060381382011,0.5954523086547852,0.0,32,24,0
