family,color,arm,both_intents_both_roles,color_contract,full_contract,eight_outcomes_correct
J07,red,d6_yoked,0,1,0,4
J07,blue,d6_yoked,0,0,0,1
J00,red,d6_ridge,0,1,0,6
J00,blue,d6_ridge,0,1,0,6
J01,red,d6_ridge,0,1,0,7
J01,blue,d6_ridge,0,1,0,7
J02,red,d6_ridge,0,1,0,6
J02,blue,d6_ridge,0,0,0,2
J03,red,d6_ridge,0,1,0,7
J03,blue,d6_ridge,0,0,0,3
J04,red,d6_ridge,0,1,0,6
J04,blue,d6_ridge,0,0,0,3
J05,red,d6_ridge,0,1,0,7
J05,blue,d6_ridge,0,0,0,3
J06,red,d6_ridge,0,1,0,4
J06,blue,d6_ridge,0,1,0,4
J07,red,d6_ridge,0,1,0,4
J07,blue,d6_ridge,0,0,0,1
J00,red,reflection,0,1,0,6
J00,blue,reflection,0,1,0,6
J01,red,reflection,0,1,0,7
J01,blue,reflection,0,0,0,5
J02,red,reflection,0,1,0,6
J02,blue,reflection,0,0,0,2
J03,red,reflection,0,1,0,7
J03,blue,reflection,0,0,0,3
J04,red,reflection,0,1,0,6
J04,blue,reflection,0,0,0,3
J05,red,reflection,0,1,0,7
J05,blue,reflection,0,0,0,3
J06,red,reflection,0,1,0,4
J06,blue,reflection,0,0,0,2
J07,red,reflection,0,0,0,3
J07,blue,reflection,0,0,0,1
J00,red,reflection_capped,0,1,0,6
J00,blue,reflection_capped,0,1,0,6
J01,red,reflection_capped,0,1,0,7
J01,blue,reflection_capped,0,0,0,5
J02,red,reflection_capped,0,1,0,6
J02,blue,reflection_capped,0,0,0,2
J03,red,reflection_capped,0,1,0,7
J03,blue,reflection_capped,0,0,0,3
J04,red,reflection_capped,0,1,0,6
J04,blue,reflection_capped,0,0,0,3
J05,red,reflection_capped,0,1,0,7
J05,blue,reflection_capped,0,0,0,3
J06,red,reflection_capped,0,1,0,4
J06,blue,reflection_capped,0,0,0,2
J07,red,reflection_capped,0,0,0,3
J07,blue,reflection_capped,0,0,0,1
J00,red,intent_blind_reflection,0,1,0,4
J00,blue,intent_blind_reflection,0,1,0,4
J01,red,intent_blind_reflection,0,1,0,5
J01,blue,intent_blind_reflection,0,0,0,1
J02,red,intent_blind_reflection,0,1,0,4
J02,blue,intent_blind_reflection,0,0,0,0
J03,red,intent_blind_reflection,0,1,0,5
J03,blue,intent_blind_reflection,0,0,0,1
J04,red,intent_blind_reflection,0,1,0,4
J04,blue,intent_blind_reflection,0,0,0,0
J05,red,intent_blind_reflection,0,1,0,5
J05,blue,intent_blind_reflection,0,0,0,1
J06,red,intent_blind_reflection,0,1,0,4
J06,blue,intent_blind_reflection,0,0,0,0
J07,red,intent_blind_reflection,0,0,0,2
J07,blue,intent_blind_reflection,0,0,0,0
J00,red,wrong_intent_reflection,0,1,0,4
J00,blue,wrong_intent_reflection,0,1,0,4
J01,red,wrong_intent_reflection,0,1,0,4
J01,blue,wrong_intent_reflection,0,0,0,2
J02,red,wrong_intent_reflection,0,1,0,4
J02,blue,wrong_intent_reflection,0,0,0,0
J03,red,wrong_intent_reflection,0,1,0,4
J03,blue,wrong_intent_reflection,0,0,0,0
J04,red,wrong_intent_reflection,0,1,0,4
J04,blue,wrong_intent_reflection,0,0,0,1
J05,red,wrong_intent_reflection,0,1,0,4
J05,blue,wrong_intent_reflection,0,0,0,0
J06,red,wrong_intent_reflection,0,1,0,4
J06,blue,wrong_intent_reflection,0,0,0,2
J07,red,wrong_intent_reflection,0,0,0,3
J07,blue,wrong_intent_reflection,0,0,0,1
J00,red,current_donor_oracle,0,1,0,6
J00,blue,current_donor_oracle,0,1,0,6
J01,red,current_donor_oracle,0,1,0,7
J01,blue,current_donor_oracle,0,1,0,7
J02,red,current_donor_oracle,0,1,0,7
J02,blue,current_donor_oracle,0,0,0,3
J03,red,current_donor_oracle,1,1,1,8
J03,blue,current_donor_oracle,1,0,0,4
J04,red,current_donor_oracle,0,1,0,6
J04,blue,current_donor_oracle,0,0,0,4
J05,red,current_donor_oracle,1,1,1,8
J05,blue,current_donor_oracle,1,0,0,4
J06,red,current_donor_oracle,0,1,0,4
J06,blue,current_donor_oracle,0,1,0,4
J07,red,current_donor_oracle,0,1,0,4
J07,blue,current_donor_oracle,0,0,0,1
J00,red,textual_update,1,1,1,8
J00,blue,textual_update,1,1,1,8
J01,red,textual_update,1,1,1,8
J01,blue,textual_update,1,1,1,8
J02,red,textual_update,1,1,1,8
J02,blue,textual_update,1,0,0,4
J03,red,textual_update,1,1,1,8
J03,blue,textual_update,1,0,0,4
J04,red,textual_update,1,1,1,8
J04,blue,textual_update,1,0,0,6
J05,red,textual_update,1,1,1,8
J05,blue,textual_update,1,0,0,4
J06,red,textual_update,0,1,0,4
J06,blue,textual_update,0,1,0,4
J07,red,textual_update,0,1,0,4
J07,blue,textual_update,0,0,0,2
J00,red,revoked_reflection,0,1,0,6
J00,blue,revoked_reflection,0,1,0,6
J01,red,revoked_reflection,0,1,0,6
J01,blue,revoked_reflection,0,1,0,6
J02,red,revoked_reflection,0,1,0,6
J02,blue,revoked_reflection,0,0,0,2
J03,red,revoked_reflection,0,1,0,6
J03,blue,revoked_reflection,0,0,0,2
J04,red,revoked_reflection,0,1,0,6
J04,blue,revoked_reflection,0,0,0,4
J05,red,revoked_reflection,0,1,0,6
J05,blue,revoked_reflection,0,0,0,2
J06,red,revoked_reflection,0,1,0,4
J06,blue,revoked_reflection,0,1,0,4
J07,red,revoked_reflection,0,1,0,4
J07,blue,revoked_reflection,0,0,0,2
