family,color,intent,arm,roles_correct,both_roles_correct,same_top1
J01,red,keep,d6_yoked,2,1,0
J01,red,swap,d6_yoked,0,0,0
J01,blue,keep,d6_yoked,2,1,0
J01,blue,swap,d6_yoked,1,0,1
J02,red,keep,d6_yoked,2,1,0
J02,red,swap,d6_yoked,1,0,1
J02,blue,keep,d6_yoked,2,1,0
J02,blue,swap,d6_yoked,1,0,1
J03,red,keep,d6_yoked,2,1,0
J03,red,swap,d6_yoked,1,0,1
J03,blue,keep,d6_yoked,2,1,0
J03,blue,swap,d6_yoked,1,0,1
J04,red,keep,d6_yoked,2,1,0
J04,red,swap,d6_yoked,0,0,0
J04,blue,keep,d6_yoked,2,1,0
J04,blue,swap,d6_yoked,0,0,0
J05,red,keep,d6_yoked,2,1,0
J05,red,swap,d6_yoked,0,0,0
J05,blue,keep,d6_yoked,2,1,0
J05,blue,swap,d6_yoked,0,0,0
J06,red,keep,d6_yoked,0,0,1
J06,red,swap,d6_yoked,0,0,0
J06,blue,keep,d6_yoked,0,0,1
J06,blue,swap,d6_yoked,0,0,0
J07,red,keep,d6_yoked,0,0,1
J07,red,swap,d6_yoked,0,0,0
J07,blue,keep,d6_yoked,0,0,1
J07,blue,swap,d6_yoked,0,0,0
J00,red,keep,d6_ridge,2,1,0
J00,red,swap,d6_ridge,0,0,0
J00,blue,keep,d6_ridge,2,1,0
J00,blue,swap,d6_ridge,0,0,0
J01,red,keep,d6_ridge,2,1,0
J01,red,swap,d6_ridge,1,0,0
J01,blue,keep,d6_ridge,2,1,0
J01,blue,swap,d6_ridge,1,0,0
J02,red,keep,d6_ridge,2,1,0
J02,red,swap,d6_ridge,0,0,0
J02,blue,keep,d6_ridge,2,1,0
J02,blue,swap,d6_ridge,0,0,0
J03,red,keep,d6_ridge,2,1,0
J03,red,swap,d6_ridge,1,0,0
J03,blue,keep,d6_ridge,2,1,0
J03,blue,swap,d6_ridge,1,0,0
J04,red,keep,d6_ridge,2,1,0
J04,red,swap,d6_ridge,0,0,0
J04,blue,keep,d6_ridge,2,1,0
J04,blue,swap,d6_ridge,0,0,0
J05,red,keep,d6_ridge,2,1,0
J05,red,swap,d6_ridge,1,0,0
J05,blue,keep,d6_ridge,2,1,0
J05,blue,swap,d6_ridge,1,0,0
J06,red,keep,d6_ridge,0,0,1
J06,red,swap,d6_ridge,0,0,1
J06,blue,keep,d6_ridge,0,0,1
J06,blue,swap,d6_ridge,0,0,1
J07,red,keep,d6_ridge,0,0,1
J07,red,swap,d6_ridge,0,0,1
J07,blue,keep,d6_ridge,0,0,1
J07,blue,swap,d6_ridge,0,0,1
J00,red,keep,reflection,2,1,0
J00,red,swap,reflection,0,0,0
J00,blue,keep,reflection,2,1,0
J00,blue,swap,reflection,0,0,0
J01,red,keep,reflection,2,1,0
J01,red,swap,reflection,1,0,0
J01,blue,keep,reflection,2,1,0
J01,blue,swap,reflection,1,0,0
J02,red,keep,reflection,2,1,0
J02,red,swap,reflection,0,0,0
J02,blue,keep,reflection,2,1,0
J02,blue,swap,reflection,0,0,0
J03,red,keep,reflection,2,1,0
J03,red,swap,reflection,1,0,0
J03,blue,keep,reflection,2,1,0
J03,blue,swap,reflection,1,0,0
J04,red,keep,reflection,2,1,0
J04,red,swap,reflection,0,0,0
J04,blue,keep,reflection,2,1,0
J04,blue,swap,reflection,0,0,0
J05,red,keep,reflection,2,1,0
J05,red,swap,reflection,1,0,0
J05,blue,keep,reflection,2,1,0
J05,blue,swap,reflection,1,0,0
J06,red,keep,reflection,0,0,1
J06,red,swap,reflection,0,0,1
J06,blue,keep,reflection,0,0,1
J06,blue,swap,reflection,0,0,1
J07,red,keep,reflection,0,0,1
J07,red,swap,reflection,0,0,1
J07,blue,keep,reflection,0,0,1
J07,blue,swap,reflection,0,0,1
J00,red,keep,reflection_capped,2,1,0
J00,red,swap,reflection_capped,0,0,0
J00,blue,keep,reflection_capped,2,1,0
J00,blue,swap,reflection_capped,0,0,0
J01,red,keep,reflection_capped,2,1,0
J01,red,swap,reflection_capped,1,0,0
J01,blue,keep,reflection_capped,2,1,0
J01,blue,swap,reflection_capped,1,0,0
J02,red,keep,reflection_capped,2,1,0
J02,red,swap,reflection_capped,0,0,0
J02,blue,keep,reflection_capped,2,1,0
J02,blue,swap,reflection_capped,0,0,0
J03,red,keep,reflection_capped,2,1,0
J03,red,swap,reflection_capped,1,0,0
J03,blue,keep,reflection_capped,2,1,0
J03,blue,swap,reflection_capped,1,0,0
J04,red,keep,reflection_capped,2,1,0
J04,red,swap,reflection_capped,0,0,0
J04,blue,keep,reflection_capped,2,1,0
J04,blue,swap,reflection_capped,0,0,0
J05,red,keep,reflection_capped,2,1,0
J05,red,swap,reflection_capped,1,0,0
J05,blue,keep,reflection_capped,2,1,0
J05,blue,swap,reflection_capped,1,0,0
J06,red,keep,reflection_capped,0,0,1
J06,red,swap,reflection_capped,0,0,1
J06,blue,keep,reflection_capped,0,0,1
J06,blue,swap,reflection_capped,0,0,1
J07,red,keep,reflection_capped,0,0,1
J07,red,swap,reflection_capped,0,0,1
J07,blue,keep,reflection_capped,0,0,1
J07,blue,swap,reflection_capped,0,0,1
J00,red,keep,intent_blind_reflection,0,0,0
J00,red,swap,intent_blind_reflection,0,0,0
J00,blue,keep,intent_blind_reflection,0,0,0
J00,blue,swap,intent_blind_reflection,0,0,0
J01,red,keep,intent_blind_reflection,0,0,0
J01,red,swap,intent_blind_reflection,1,0,0
J01,blue,keep,intent_blind_reflection,0,0,0
J01,blue,swap,intent_blind_reflection,1,0,0
J02,red,keep,intent_blind_reflection,0,0,0
J02,red,swap,intent_blind_reflection,0,0,0
J02,blue,keep,intent_blind_reflection,0,0,0
J02,blue,swap,intent_blind_reflection,0,0,0
J03,red,keep,intent_blind_reflection,0,0,0
J03,red,swap,intent_blind_reflection,1,0,0
J03,blue,keep,intent_blind_reflection,0,0,0
J03,blue,swap,intent_blind_reflection,1,0,0
J04,red,keep,intent_blind_reflection,0,0,0
J04,red,swap,intent_blind_reflection,0,0,0
J04,blue,keep,intent_blind_reflection,0,0,0
J04,blue,swap,intent_blind_reflection,0,0,0
J05,red,keep,intent_blind_reflection,0,0,0
J05,red,swap,intent_blind_reflection,1,0,0
J05,blue,keep,intent_blind_reflection,0,0,0
J05,blue,swap,intent_blind_reflection,1,0,0
J06,red,keep,intent_blind_reflection,0,0,1
J06,red,swap,intent_blind_reflection,0,0,1
J06,blue,keep,intent_blind_reflection,0,0,1
J06,blue,swap,intent_blind_reflection,0,0,1
J07,red,keep,intent_blind_reflection,0,0,1
J07,red,swap,intent_blind_reflection,0,0,1
J07,blue,keep,intent_blind_reflection,0,0,1
J07,blue,swap,intent_blind_reflection,0,0,1
J00,red,keep,wrong_intent_reflection,0,0,0
J00,red,swap,wrong_intent_reflection,0,0,0
J00,blue,keep,wrong_intent_reflection,0,0,0
J00,blue,swap,wrong_intent_reflection,0,0,0
J01,red,keep,wrong_intent_reflection,0,0,0
J01,red,swap,wrong_intent_reflection,0,0,0
J01,blue,keep,wrong_intent_reflection,0,0,0
J01,blue,swap,wrong_intent_reflection,0,0,0
J02,red,keep,wrong_intent_reflection,0,0,0
J02,red,swap,wrong_intent_reflection,0,0,0
J02,blue,keep,wrong_intent_reflection,0,0,0
J02,blue,swap,wrong_intent_reflection,0,0,0
J03,red,keep,wrong_intent_reflection,0,0,0
J03,red,swap,wrong_intent_reflection,0,0,0
J03,blue,keep,wrong_intent_reflection,0,0,0
J03,blue,swap,wrong_intent_reflection,0,0,0
J04,red,keep,wrong_intent_reflection,0,0,0
J04,red,swap,wrong_intent_reflection,0,0,0
J04,blue,keep,wrong_intent_reflection,0,0,0
J04,blue,swap,wrong_intent_reflection,0,0,0
J05,red,keep,wrong_intent_reflection,0,0,0
J05,red,swap,wrong_intent_reflection,0,0,0
J05,blue,keep,wrong_intent_reflection,0,0,0
J05,blue,swap,wrong_intent_reflection,0,0,0
J06,red,keep,wrong_intent_reflection,0,0,1
J06,red,swap,wrong_intent_reflection,0,0,1
J06,blue,keep,wrong_intent_reflection,0,0,1
J06,blue,swap,wrong_intent_reflection,0,0,1
J07,red,keep,wrong_intent_reflection,0,0,1
J07,red,swap,wrong_intent_reflection,0,0,1
J07,blue,keep,wrong_intent_reflection,0,0,1
J07,blue,swap,wrong_intent_reflection,0,0,1
J00,red,keep,current_donor_oracle,2,1,0
J00,red,swap,current_donor_oracle,0,0,0
J00,blue,keep,current_donor_oracle,2,1,0
J00,blue,swap,current_donor_oracle,0,0,0
J01,red,keep,current_donor_oracle,2,1,0
J01,red,swap,current_donor_oracle,1,0,0
J01,blue,keep,current_donor_oracle,2,1,0
J01,blue,swap,current_donor_oracle,1,0,0
J02,red,keep,current_donor_oracle,2,1,0
J02,red,swap,current_donor_oracle,1,0,0
J02,blue,keep,current_donor_oracle,2,1,0
J02,blue,swap,current_donor_oracle,1,0,0
J03,red,keep,current_donor_oracle,2,1,0
J03,red,swap,current_donor_oracle,2,1,0
J03,blue,keep,current_donor_oracle,2,1,0
J03,blue,swap,current_donor_oracle,2,1,0
J04,red,keep,current_donor_oracle,2,1,0
J04,red,swap,current_donor_oracle,0,0,0
J04,blue,keep,current_donor_oracle,2,1,0
J04,blue,swap,current_donor_oracle,0,0,0
J05,red,keep,current_donor_oracle,2,1,0
J05,red,swap,current_donor_oracle,2,1,0
J05,blue,keep,current_donor_oracle,2,1,0
J05,blue,swap,current_donor_oracle,2,1,0
J06,red,keep,current_donor_oracle,0,0,1
J06,red,swap,current_donor_oracle,0,0,1
J06,blue,keep,current_donor_oracle,0,0,1
J06,blue,swap,current_donor_oracle,0,0,1
J07,red,keep,current_donor_oracle,0,0,1
J07,red,swap,current_donor_oracle,0,0,1
J07,blue,keep,current_donor_oracle,0,0,1
J07,blue,swap,current_donor_oracle,0,0,1
J00,red,keep,textual_update,2,1,0
J00,red,swap,textual_update,2,1,0
J00,blue,keep,textual_update,2,1,0
J00,blue,swap,textual_update,2,1,0
J01,red,keep,textual_update,2,1,0
J01,red,swap,textual_update,2,1,0
J01,blue,keep,textual_update,2,1,0
J01,blue,swap,textual_update,2,1,0
J02,red,keep,textual_update,2,1,0
J02,red,swap,textual_update,2,1,0
J02,blue,keep,textual_update,2,1,0
J02,blue,swap,textual_update,2,1,0
J03,red,keep,textual_update,2,1,0
J03,red,swap,textual_update,2,1,0
J03,blue,keep,textual_update,2,1,0
J03,blue,swap,textual_update,2,1,0
J04,red,keep,textual_update,2,1,0
J04,red,swap,textual_update,2,1,0
J04,blue,keep,textual_update,2,1,0
J04,blue,swap,textual_update,2,1,0
J05,red,keep,textual_update,2,1,0
J05,red,swap,textual_update,2,1,0
J05,blue,keep,textual_update,2,1,0
J05,blue,swap,textual_update,2,1,0
J06,red,keep,textual_update,0,0,1
J06,red,swap,textual_update,0,0,1
J06,blue,keep,textual_update,0,0,1
J06,blue,swap,textual_update,0,0,1
J07,red,keep,textual_update,0,0,1
J07,red,swap,textual_update,0,0,1
J07,blue,keep,textual_update,0,0,1
J07,blue,swap,textual_update,0,0,1
J00,red,keep,revoked_reflection,2,1,0
J00,red,swap,revoked_reflection,0,0,0
J00,blue,keep,revoked_reflection,2,1,0
J00,blue,swap,revoked_reflection,0,0,0
J01,red,keep,revoked_reflection,2,1,0
J01,red,swap,revoked_reflection,0,0,0
J01,blue,keep,revoked_reflection,2,1,0
J01,blue,swap,revoked_reflection,0,0,0
J02,red,keep,revoked_reflection,2,1,0
J02,red,swap,revoked_reflection,0,0,0
J02,blue,keep,revoked_reflection,2,1,0
J02,blue,swap,revoked_reflection,0,0,0
J03,red,keep,revoked_reflection,2,1,0
J03,red,swap,revoked_reflection,0,0,0
J03,blue,keep,revoked_reflection,2,1,0
J03,blue,swap,revoked_reflection,0,0,0
J04,red,keep,revoked_reflection,2,1,0
J04,red,swap,revoked_reflection,0,0,0
J04,blue,keep,revoked_reflection,2,1,0
J04,blue,swap,revoked_reflection,0,0,0
J05,red,keep,revoked_reflection,2,1,0
J05,red,swap,revoked_reflection,0,0,0
J05,blue,keep,revoked_reflection,2,1,0
J05,blue,swap,revoked_reflection,0,0,0
J06,red,keep,revoked_reflection,0,0,1
J06,red,swap,revoked_reflection,0,0,1
J06,blue,keep,revoked_reflection,0,0,1
J06,blue,swap,revoked_reflection,0,0,1
J07,red,keep,revoked_reflection,0,0,1
J07,red,swap,revoked_reflection,0,0,1
J07,blue,keep,revoked_reflection,0,0,1
J07,blue,swap,revoked_reflection,0,0,1
