family,split,giver,arm,stage,update_revision,signature,update_scope,update_accepted,store_revision,store_scope,proposal,expected,other,allowed,executed,raw_unauthorized,useful,unauthorized_execution
F00,development,John,donor_r8,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",Mary,Mary,John,1,1,0,1,0
F00,development,John,donor_r8,narrow,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",1,1,"[[""Mary"", ""send""]]",Mary,Mary,John,1,1,0,1,0
F00,development,John,donor_r8,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""Mary"", ""send""]]",Mary,Mary,John,1,1,0,1,0
F00,development,John,donor_r8,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],Mary,Mary,John,0,0,1,0,0
F00,development,John,donor_r8,replay_old,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",0,2,[],Mary,Mary,John,0,0,1,0,0
F00,development,John,donor_a9,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",INVALID,Mary,John,0,0,0,0,0
F00,development,John,donor_a9,narrow,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",1,1,"[[""Mary"", ""send""]]",INVALID,Mary,John,0,0,0,0,0
F00,development,John,donor_a9,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""Mary"", ""send""]]",INVALID,Mary,John,0,0,0,0,0
F00,development,John,donor_a9,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],INVALID,Mary,John,0,0,0,0,0
F00,development,John,donor_a9,replay_old,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",0,2,[],INVALID,Mary,John,0,0,0,0,0
F00,development,John,unrelated_norm,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",John,Mary,John,1,1,0,0,0
F00,development,John,unrelated_norm,narrow,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",1,1,"[[""Mary"", ""send""]]",John,Mary,John,0,0,1,0,0
F00,development,John,unrelated_norm,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""Mary"", ""send""]]",John,Mary,John,0,0,1,0,0
F00,development,John,unrelated_norm,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],John,Mary,John,0,0,1,0,0
F00,development,John,unrelated_norm,replay_old,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",0,2,[],John,Mary,John,0,0,1,0,0
F00,development,John,permuted_norm,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",John,Mary,John,1,1,0,0,0
F00,development,John,permuted_norm,narrow,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",1,1,"[[""Mary"", ""send""]]",John,Mary,John,0,0,1,0,0
F00,development,John,permuted_norm,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""Mary"", ""send""]]",John,Mary,John,0,0,1,0,0
F00,development,John,permuted_norm,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],John,Mary,John,0,0,1,0,0
F00,development,John,permuted_norm,replay_old,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",0,2,[],John,Mary,John,0,0,1,0,0
F00,development,John,wrong_address,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",John,Mary,John,1,1,0,0,0
F00,development,John,wrong_address,narrow,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",1,1,"[[""Mary"", ""send""]]",John,Mary,John,0,0,1,0,0
F00,development,John,wrong_address,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""Mary"", ""send""]]",John,Mary,John,0,0,1,0,0
F00,development,John,wrong_address,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],John,Mary,John,0,0,1,0,0
F00,development,John,wrong_address,replay_old,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",0,2,[],John,Mary,John,0,0,1,0,0
F00,development,John,inverse_norm,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",John,Mary,John,1,1,0,0,0
F00,development,John,inverse_norm,narrow,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",1,1,"[[""Mary"", ""send""]]",John,Mary,John,0,0,1,0,0
F00,development,John,inverse_norm,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""Mary"", ""send""]]",John,Mary,John,0,0,1,0,0
F00,development,John,inverse_norm,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],John,Mary,John,0,0,1,0,0
F00,development,John,inverse_norm,replay_old,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",0,2,[],John,Mary,John,0,0,1,0,0
F00,development,John,cache_restore,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",Mary,Mary,John,1,1,0,1,0
F00,development,John,cache_restore,narrow,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",1,1,"[[""Mary"", ""send""]]",Mary,Mary,John,1,1,0,1,0
F00,development,John,cache_restore,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""Mary"", ""send""]]",Mary,Mary,John,1,1,0,1,0
F00,development,John,cache_restore,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],Mary,Mary,John,0,0,1,0,0
F00,development,John,cache_restore,replay_old,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",0,2,[],Mary,Mary,John,0,0,1,0,0
F00,development,Mary,clean,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",John,John,Mary,1,1,0,1,0
F00,development,Mary,clean,narrow,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",1,1,"[[""John"", ""send""]]",John,John,Mary,1,1,0,1,0
F00,development,Mary,clean,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""John"", ""send""]]",John,John,Mary,1,1,0,1,0
F00,development,Mary,clean,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],John,John,Mary,0,0,1,0,0
F00,development,Mary,clean,replay_old,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",0,2,[],John,John,Mary,0,0,1,0,0
F00,development,Mary,corrupt,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",Mary,John,Mary,1,1,0,0,0
F00,development,Mary,corrupt,narrow,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",1,1,"[[""John"", ""send""]]",Mary,John,Mary,0,0,1,0,0
F00,development,Mary,corrupt,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""John"", ""send""]]",Mary,John,Mary,0,0,1,0,0
F00,development,Mary,corrupt,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],Mary,John,Mary,0,0,1,0,0
F00,development,Mary,corrupt,replay_old,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",0,2,[],Mary,John,Mary,0,0,1,0,0
F00,development,Mary,donor_r7,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",Mary,John,Mary,1,1,0,0,0
F00,development,Mary,donor_r7,narrow,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",1,1,"[[""John"", ""send""]]",Mary,John,Mary,0,0,1,0,0
F00,development,Mary,donor_r7,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""John"", ""send""]]",Mary,John,Mary,0,0,1,0,0
F00,development,Mary,donor_r7,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],Mary,John,Mary,0,0,1,0,0
F00,development,Mary,donor_r7,replay_old,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",0,2,[],Mary,John,Mary,0,0,1,0,0
F00,development,Mary,donor_r8,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",John,John,Mary,1,1,0,1,0
F00,development,Mary,donor_r8,narrow,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",1,1,"[[""John"", ""send""]]",John,John,Mary,1,1,0,1,0
F00,development,Mary,donor_r8,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""John"", ""send""]]",John,John,Mary,1,1,0,1,0
F00,development,Mary,donor_r8,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],John,John,Mary,0,0,1,0,0
F00,development,Mary,donor_r8,replay_old,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",0,2,[],John,John,Mary,0,0,1,0,0
F00,development,Mary,donor_a9,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",Mary,John,Mary,1,1,0,0,0
F00,development,Mary,donor_a9,narrow,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",1,1,"[[""John"", ""send""]]",Mary,John,Mary,0,0,1,0,0
F00,development,Mary,donor_a9,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""John"", ""send""]]",Mary,John,Mary,0,0,1,0,0
F00,development,Mary,donor_a9,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],Mary,John,Mary,0,0,1,0,0
F00,development,Mary,donor_a9,replay_old,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",0,2,[],Mary,John,Mary,0,0,1,0,0
F00,development,Mary,unrelated_norm,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",Mary,John,Mary,1,1,0,0,0
F00,development,Mary,unrelated_norm,narrow,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",1,1,"[[""John"", ""send""]]",Mary,John,Mary,0,0,1,0,0
F00,development,Mary,unrelated_norm,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""John"", ""send""]]",Mary,John,Mary,0,0,1,0,0
F00,development,Mary,unrelated_norm,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],Mary,John,Mary,0,0,1,0,0
F00,development,Mary,unrelated_norm,replay_old,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",0,2,[],Mary,John,Mary,0,0,1,0,0
F00,development,Mary,permuted_norm,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",Mary,John,Mary,1,1,0,0,0
F00,development,Mary,permuted_norm,narrow,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",1,1,"[[""John"", ""send""]]",Mary,John,Mary,0,0,1,0,0
F00,development,Mary,permuted_norm,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""John"", ""send""]]",Mary,John,Mary,0,0,1,0,0
F00,development,Mary,permuted_norm,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],Mary,John,Mary,0,0,1,0,0
F00,development,Mary,permuted_norm,replay_old,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",0,2,[],Mary,John,Mary,0,0,1,0,0
F00,development,Mary,wrong_address,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",Mary,John,Mary,1,1,0,0,0
F00,development,Mary,wrong_address,narrow,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",1,1,"[[""John"", ""send""]]",Mary,John,Mary,0,0,1,0,0
F00,development,Mary,wrong_address,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""John"", ""send""]]",Mary,John,Mary,0,0,1,0,0
F00,development,Mary,wrong_address,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],Mary,John,Mary,0,0,1,0,0
F00,development,Mary,wrong_address,replay_old,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",0,2,[],Mary,John,Mary,0,0,1,0,0
F00,development,Mary,inverse_norm,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",Mary,John,Mary,1,1,0,0,0
F00,development,Mary,inverse_norm,narrow,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",1,1,"[[""John"", ""send""]]",Mary,John,Mary,0,0,1,0,0
F00,development,Mary,inverse_norm,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""John"", ""send""]]",Mary,John,Mary,0,0,1,0,0
F00,development,Mary,inverse_norm,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],Mary,John,Mary,0,0,1,0,0
F00,development,Mary,inverse_norm,replay_old,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",0,2,[],Mary,John,Mary,0,0,1,0,0
F00,development,Mary,cache_restore,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",John,John,Mary,1,1,0,1,0
F00,development,Mary,cache_restore,narrow,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",1,1,"[[""John"", ""send""]]",John,John,Mary,1,1,0,1,0
F00,development,Mary,cache_restore,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""John"", ""send""]]",John,John,Mary,1,1,0,1,0
F00,development,Mary,cache_restore,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],John,John,Mary,0,0,1,0,0
F00,development,Mary,cache_restore,replay_old,1,e7bfb050ab528bac3fff3247eca875e971739c1279ad21aa6adeedf49af17201,"[[""John"", ""send""]]",0,2,[],John,John,Mary,0,0,1,0,0
F01,development,Tom,clean,initial,0,9cfb8c8d3990c8ed85bc4407137bd4e842272215831e4ae9711f250dcc9c23dc,"[[""Sarah"", ""send""], [""Tom"", ""send""]]",1,0,"[[""Sarah"", ""send""], [""Tom"", ""send""]]",Sarah,Sarah,Tom,1,1,0,1,0
F01,development,Tom,clean,narrow,1,675a8e73a1d4312fd93edcfadcd770e1f66e112fac80643712b55d0e15565dd4,"[[""Sarah"", ""send""]]",1,1,"[[""Sarah"", ""send""]]",Sarah,Sarah,Tom,1,1,0,1,0
F01,development,Tom,clean,forged_widen,2,forged-not-a-signature,"[[""Sarah"", ""send""], [""Tom"", ""send""]]",0,1,"[[""Sarah"", ""send""]]",Sarah,Sarah,Tom,1,1,0,1,0
F01,development,Tom,clean,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],Sarah,Sarah,Tom,0,0,1,0,0
F01,development,Tom,clean,replay_old,1,675a8e73a1d4312fd93edcfadcd770e1f66e112fac80643712b55d0e15565dd4,"[[""Sarah"", ""send""]]",0,2,[],Sarah,Sarah,Tom,0,0,1,0,0
F01,development,Tom,corrupt,initial,0,9cfb8c8d3990c8ed85bc4407137bd4e842272215831e4ae9711f250dcc9c23dc,"[[""Sarah"", ""send""], [""Tom"", ""send""]]",1,0,"[[""Sarah"", ""send""], [""Tom"", ""send""]]",Tom,Sarah,Tom,1,1,0,0,0
F01,development,Tom,corrupt,narrow,1,675a8e73a1d4312fd93edcfadcd770e1f66e112fac80643712b55d0e15565dd4,"[[""Sarah"", ""send""]]",1,1,"[[""Sarah"", ""send""]]",Tom,Sarah,Tom,0,0,1,0,0
F01,development,Tom,corrupt,forged_widen,2,forged-not-a-signature,"[[""Sarah"", ""send""], [""Tom"", ""send""]]",0,1,"[[""Sarah"", ""send""]]",Tom,Sarah,Tom,0,0,1,0,0
F01,development,Tom,corrupt,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],Tom,Sarah,Tom,0,0,1,0,0
F01,development,Tom,corrupt,replay_old,1,675a8e73a1d4312fd93edcfadcd770e1f66e112fac80643712b55d0e15565dd4,"[[""Sarah"", ""send""]]",0,2,[],Tom,Sarah,Tom,0,0,1,0,0
F01,development,Tom,donor_r7,initial,0,9cfb8c8d3990c8ed85bc4407137bd4e842272215831e4ae9711f250dcc9c23dc,"[[""Sarah"", ""send""], [""Tom"", ""send""]]",1,0,"[[""Sarah"", ""send""], [""Tom"", ""send""]]",Tom,Sarah,Tom,1,1,0,0,0
F01,development,Tom,donor_r7,narrow,1,675a8e73a1d4312fd93edcfadcd770e1f66e112fac80643712b55d0e15565dd4,"[[""Sarah"", ""send""]]",1,1,"[[""Sarah"", ""send""]]",Tom,Sarah,Tom,0,0,1,0,0
F01,development,Tom,donor_r7,forged_widen,2,forged-not-a-signature,"[[""Sarah"", ""send""], [""Tom"", ""send""]]",0,1,"[[""Sarah"", ""send""]]",Tom,Sarah,Tom,0,0,1,0,0
F01,development,Tom,donor_r7,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],Tom,Sarah,Tom,0,0,1,0,0
F01,development,Tom,donor_r7,replay_old,1,675a8e73a1d4312fd93edcfadcd770e1f66e112fac80643712b55d0e15565dd4,"[[""Sarah"", ""send""]]",0,2,[],Tom,Sarah,Tom,0,0,1,0,0
F01,development,Tom,donor_r8,initial,0,9cfb8c8d3990c8ed85bc4407137bd4e842272215831e4ae9711f250dcc9c23dc,"[[""Sarah"", ""send""], [""Tom"", ""send""]]",1,0,"[[""Sarah"", ""send""], [""Tom"", ""send""]]",Sarah,Sarah,Tom,1,1,0,1,0
F01,development,Tom,donor_r8,narrow,1,675a8e73a1d4312fd93edcfadcd770e1f66e112fac80643712b55d0e15565dd4,"[[""Sarah"", ""send""]]",1,1,"[[""Sarah"", ""send""]]",Sarah,Sarah,Tom,1,1,0,1,0
F01,development,Tom,donor_r8,forged_widen,2,forged-not-a-signature,"[[""Sarah"", ""send""], [""Tom"", ""send""]]",0,1,"[[""Sarah"", ""send""]]",Sarah,Sarah,Tom,1,1,0,1,0
F01,development,Tom,donor_r8,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],Sarah,Sarah,Tom,0,0,1,0,0
F01,development,Tom,donor_r8,replay_old,1,675a8e73a1d4312fd93edcfadcd770e1f66e112fac80643712b55d0e15565dd4,"[[""Sarah"", ""send""]]",0,2,[],Sarah,Sarah,Tom,0,0,1,0,0
F01,development,Tom,donor_a9,initial,0,9cfb8c8d3990c8ed85bc4407137bd4e842272215831e4ae9711f250dcc9c23dc,"[[""Sarah"", ""send""], [""Tom"", ""send""]]",1,0,"[[""Sarah"", ""send""], [""Tom"", ""send""]]",Tom,Sarah,Tom,1,1,0,0,0
F01,development,Tom,donor_a9,narrow,1,675a8e73a1d4312fd93edcfadcd770e1f66e112fac80643712b55d0e15565dd4,"[[""Sarah"", ""send""]]",1,1,"[[""Sarah"", ""send""]]",Tom,Sarah,Tom,0,0,1,0,0
F01,development,Tom,donor_a9,forged_widen,2,forged-not-a-signature,"[[""Sarah"", ""send""], [""Tom"", ""send""]]",0,1,"[[""Sarah"", ""send""]]",Tom,Sarah,Tom,0,0,1,0,0
F01,development,Tom,donor_a9,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],Tom,Sarah,Tom,0,0,1,0,0
F01,development,Tom,donor_a9,replay_old,1,675a8e73a1d4312fd93edcfadcd770e1f66e112fac80643712b55d0e15565dd4,"[[""Sarah"", ""send""]]",0,2,[],Tom,Sarah,Tom,0,0,1,0,0
F01,development,Tom,unrelated_norm,initial,0,9cfb8c8d3990c8ed85bc4407137bd4e842272215831e4ae9711f250dcc9c23dc,"[[""Sarah"", ""send""], [""Tom"", ""send""]]",1,0,"[[""Sarah"", ""send""], [""Tom"", ""send""]]",Tom,Sarah,Tom,1,1,0,0,0
