arm,family,correct,both_roles_correct,same_named_output,correct_in_collapsed_pair,expected_1,output_1,expected_2,output_2
internal,H00,0,0,0,0,James,INVALID,Patricia,INVALID
internal,H01,0,0,0,0,Michael,INVALID,Jennifer,Michael
internal,H02,0,0,0,0,James,Patricia,Patricia,INVALID
internal,H03,0,0,0,0,Michael,Jennifer,Jennifer,Michael
internal,H04,1,0,1,1,James,James,Patricia,James
internal,H05,1,0,1,1,Michael,Michael,Jennifer,Michael
internal,H06,1,0,1,1,James,Patricia,Patricia,Patricia
internal,H07,1,0,1,1,Michael,Jennifer,Jennifer,Jennifer
internal_reload,H00,0,0,0,0,James,INVALID,Patricia,INVALID
internal_reload,H01,0,0,0,0,Michael,INVALID,Jennifer,Michael
internal_reload,H02,0,0,0,0,James,Patricia,Patricia,INVALID
internal_reload,H03,0,0,0,0,Michael,Jennifer,Jennifer,Michael
internal_reload,H04,1,0,1,1,James,James,Patricia,James
internal_reload,H05,1,0,1,1,Michael,Michael,Jennifer,Michael
internal_reload,H06,1,0,1,1,James,Patricia,Patricia,Patricia
internal_reload,H07,1,0,1,1,Michael,Jennifer,Jennifer,Jennifer
mean_training_delta,H00,0,0,0,0,James,INVALID,Patricia,INVALID
mean_training_delta,H01,0,0,0,0,Michael,Jennifer,Jennifer,Michael
mean_training_delta,H02,0,0,0,0,James,Patricia,Patricia,James
mean_training_delta,H03,0,0,0,0,Michael,Jennifer,Jennifer,Michael
mean_training_delta,H04,0,0,0,0,James,Patricia,Patricia,James
mean_training_delta,H05,0,0,0,0,Michael,Jennifer,Jennifer,Michael
mean_training_delta,H06,0,0,0,0,James,Patricia,Patricia,James
mean_training_delta,H07,0,0,0,0,Michael,Jennifer,Jennifer,Michael
oracle_current_donor,H00,0,0,0,0,James,INVALID,Patricia,INVALID
oracle_current_donor,H01,1,0,0,0,Michael,Michael,Jennifer,INVALID
oracle_current_donor,H02,2,1,0,0,James,James,Patricia,Patricia
oracle_current_donor,H03,2,1,0,0,Michael,Michael,Jennifer,Jennifer
oracle_current_donor,H04,1,0,0,0,James,James,Patricia,INVALID
oracle_current_donor,H05,2,1,0,0,Michael,Michael,Jennifer,Jennifer
oracle_current_donor,H06,2,1,0,0,James,James,Patricia,Patricia
oracle_current_donor,H07,2,1,0,0,Michael,Michael,Jennifer,Jennifer
post_attack_guarded,H00,0,0,0,0,James,INVALID,Patricia,INVALID
post_attack_guarded,H01,0,0,0,0,Michael,INVALID,Jennifer,Michael
post_attack_guarded,H02,0,0,0,0,James,Patricia,Patricia,INVALID
post_attack_guarded,H03,0,0,0,0,Michael,Jennifer,Jennifer,Michael
post_attack_guarded,H04,1,0,1,1,James,James,Patricia,James
post_attack_guarded,H05,1,0,1,1,Michael,Michael,Jennifer,Michael
post_attack_guarded,H06,1,0,1,1,James,Patricia,Patricia,Patricia
post_attack_guarded,H07,1,0,1,1,Michael,Jennifer,Jennifer,Jennifer
post_attack_unverified,H00,0,0,0,0,James,Patricia,Patricia,James
post_attack_unverified,H01,0,0,0,0,Michael,Jennifer,Jennifer,Michael
post_attack_unverified,H02,0,0,0,0,James,Patricia,Patricia,INVALID
post_attack_unverified,H03,0,0,0,0,Michael,Jennifer,Jennifer,Michael
post_attack_unverified,H04,1,0,1,1,James,James,Patricia,James
post_attack_unverified,H05,1,0,1,1,Michael,Michael,Jennifer,Michael
post_attack_unverified,H06,1,0,1,1,James,Patricia,Patricia,Patricia
post_attack_unverified,H07,1,0,1,1,Michael,Jennifer,Jennifer,Jennifer
revoked_edit,H00,0,0,0,0,James,INVALID,Patricia,INVALID
revoked_edit,H01,0,0,0,0,Michael,Jennifer,Jennifer,Michael
revoked_edit,H02,0,0,0,0,James,Patricia,Patricia,James
revoked_edit,H03,0,0,0,0,Michael,Jennifer,Jennifer,Michael
revoked_edit,H04,0,0,0,0,James,Patricia,Patricia,James
revoked_edit,H05,0,0,0,0,Michael,Jennifer,Jennifer,Michael
revoked_edit,H06,0,0,0,0,James,Patricia,Patricia,James
revoked_edit,H07,0,0,0,0,Michael,Jennifer,Jennifer,Michael
supervised_ridge,H00,0,0,0,0,James,INVALID,Patricia,INVALID
supervised_ridge,H01,1,0,0,0,Michael,Michael,Jennifer,INVALID
supervised_ridge,H02,0,0,0,0,James,INVALID,Patricia,INVALID
supervised_ridge,H03,2,1,0,0,Michael,Michael,Jennifer,Jennifer
supervised_ridge,H04,1,0,0,0,James,James,Patricia,INVALID
supervised_ridge,H05,1,0,1,1,Michael,Jennifer,Jennifer,Jennifer
supervised_ridge,H06,2,1,0,0,James,James,Patricia,Patricia
supervised_ridge,H07,2,1,0,0,Michael,Michael,Jennifer,Jennifer
task,H00,0,0,0,0,James,INVALID,Patricia,INVALID
task,H01,1,0,1,1,Michael,Michael,Jennifer,Michael
task,H02,0,0,0,0,James,INVALID,Patricia,James
task,H03,0,0,0,0,Michael,Jennifer,Jennifer,Michael
task,H04,1,0,1,1,James,James,Patricia,James
task,H05,1,0,1,1,Michael,Michael,Jennifer,Michael
task,H06,1,0,1,1,James,Patricia,Patricia,Patricia
task,H07,1,0,1,1,Michael,Jennifer,Jennifer,Jennifer
yoked,H00,0,0,0,0,James,INVALID,Patricia,INVALID
yoked,H01,1,0,1,1,Michael,Michael,Jennifer,Michael
yoked,H02,0,0,0,0,James,INVALID,Patricia,James
yoked,H03,1,0,1,1,Michael,Michael,Jennifer,Michael
yoked,H04,1,0,1,1,James,James,Patricia,James
yoked,H05,1,0,1,1,Michael,Michael,Jennifer,Michael
yoked,H06,0,0,0,0,James,Patricia,Patricia,INVALID
yoked,H07,0,0,0,0,Michael,Jennifer,Jennifer,INVALID
zero_parameter_reset,H00,0,0,0,0,James,INVALID,Patricia,INVALID
zero_parameter_reset,H01,0,0,0,0,Michael,Jennifer,Jennifer,Michael
zero_parameter_reset,H02,0,0,0,0,James,Patricia,Patricia,James
zero_parameter_reset,H03,0,0,0,0,Michael,Jennifer,Jennifer,Michael
zero_parameter_reset,H04,0,0,0,0,James,Patricia,Patricia,James
zero_parameter_reset,H05,0,0,0,0,Michael,Jennifer,Jennifer,Michael
zero_parameter_reset,H06,0,0,0,0,James,Patricia,Patricia,James
zero_parameter_reset,H07,0,0,0,0,Michael,Jennifer,Jennifer,Michael
