id,date_requested,category,request,status,evidence,notes
66,2026-08-08,process,Add a boot-time GPU limit audit so this can never be silent again,DONE,gpuLimitAudit() scans every InstancedMesh capacity against the 65536 limit and console.errors; window.__gpuAudit.ok,every counter read green while the screen was frozen
67,2026-08-08,bug,Collected gears and mail did not vanish (reported by Micah),DONE,drawn gear batch now 20 -> 17 matching the grid on the same frame,gridFingerprint strided the grid by 37 so a one-cell pickup was missed ~97% of the time
68,2026-08-08,perf,Rebuild check ran only every 4th frame in play,DONE,now every frame; p50 16.7ms p95 18.1 p99 18.7 unchanged,a pickup must vanish on the frame you touch it
69,2026-08-08,bug,Boot threw drawBG then ATLAS_ON from the deleted 2D render pass,DONE,retired-draw stubs moved to the FIRST script block and the dead 2D world pass now returns early; console errors 1 -> 0,stubbing names one at a time just moved the error along
70,2026-08-08,physics,Curve flung the rider backwards and ping-ponged the run,DONE,rolling back off a curve is damped 0.35x with a 45-frame rail cooldown; seed 314159 8 pct -> won,pre-existing - the live build did it too; earlier wins on such seeds were luck
71,2026-08-08,process,Mute the game during all agent test runs,DONE,localStorage sprocket_muted=1 set before every run; saved to memory,Micah is at the machine and should not have to listen to it
67,2026-08-08,perf,Verify frame budget now that frames actually render,DONE,locked 60fps avg 16.68ms p95 17.6 p99 19.3 worst 24ms and ZERO frames over 33ms across 420 frames of play,every earlier perf number was invalid - measured while WebGPU discarded frames
68,2026-08-08,process,Bot jumped at 1-tile ledges and disabled the step-up assist,DONE,step-up needs onGround; a constantly-airborne bot never gets it. Jump now only for obstacles step-up cannot solve. 4 seeds went 1/4 -> 4/4 with the GAME UNCHANGED,proved by a no-jump run winning seed 246810 outright
69,2026-08-08,process,Boot is clean - no uncaught errors,DONE,0 window errors captured on load; console has 2 benign warnings; the earlier drawBG ReferenceError is gone,
70,2026-08-08,content,Completion rate on a real sample size,DONE,10 fresh unseen seeds all won - 40 deliveries 0 deaths median 10.3s; 14/14 counting the earlier set,replaces the 4-and-8 seed claims that had already been burned once by seed luck
71,2026-08-08,design,DIFFICULTY CONCERN - a bot holding ONE key beats every level with zero deaths,OPEN,14/14 wins 0 deaths across all seeds; levels last 6.8-12.8s,completable is now proven but challenge is NOT - hazards are avoidable without any skill and the delivery verb is optional
72,2026-08-08,bug,Regression check - setSingle rewrite touched every editor single (grid cursor gizmos),DONE,edit mode restores with grid+cursor visible; painting works (tile 0->1 at 136,6); paint path and 3D cursor agree exactly at 4 sample points across the canvas,setSingle places editor objects too so this had to be verified not assumed
73,2026-08-08,design,ROUTE GATE - the goal now stays shut until the round is delivered,DONE,A/B: bot ignoring mailboxes wins 0/6; same bot running the route wins 6/6 in 6.8-12.8s. Gate unit-checked at 0/quota (refused) quota-1 (refused) quota (wins),the game is called Paper Route and you could previously win while ignoring every mailbox
74,2026-08-08,design,Route quota capped so it can never lock a player out,DONE,quota = min(3, total, ceil(total*0.5)) -> lands at 2-3 with >=4 mailboxes on every seed; attainable with margin on all 14 seeds with measured delivery counts,an unreachable quota would recreate the unwinnable-level bug this session removed
75,2026-08-08,ui,Route progress is visible in the HUD and the depot turns you away out loud,DONE,hRoute counter goes amber->green at quota; goal prints N MORE DELIVERIES and plays a reject sfx; ROUTE COMPLETE popText on hitting quota,a gate the player cannot see is a bad gate
76,2026-08-08,process,Drive tick() directly instead of rAF for harness runs,DONE,12 full playthroughs in 18.5s wall clock; immune to the occluded-window rAF throttle that had dropped the tab to 1fps,tick() IS the frame so the simulation is identical - this should be the default harness from now on
77,2026-08-08,content,HALF THE LEVELS GENERATED WITH NO HAZARDS AT ALL,DONE,census found 3 of 6 seeds with zero enemies zero spikes zero lava; ensureOpposition guarantees 4 walkers spread along the route; now 0 of 8 levels empty and player-near-enemy went 0-2.4pct -> 1.7-11.1pct of frames,this - not weak tuning - was why a one-key bot never died
78,2026-08-08,content,Opposition must not recreate unwinnable levels,DONE,8/8 still won after adding enemies; enemies only (never spikes/lava) because terrain can wall off a route while a walker cannot; start and depot approach left clear,same guarantee-as-post-pass shape as ensureMailRoute and ensureGroundFloor
79,2026-08-08,bug,FRAME-KILLER STILL LIVE - world batches exceeded the uniform limit on busy levels,DONE,my own gpuLimitAudit caught it: standard level allocated 1050 instances (67200 bytes) and epic 1747 (111808) vs the 65536 cap; audit.ok was false. Sizing to need was not enough - the ceiling is per-mesh,the first fix removed only the dead 20000 batch; real levels still froze on the last good frame
80,2026-08-08,bug,Chunk per-type instancing at 1000 so no mesh can ever exceed the binding limit,DONE,voxMesh keyed by id or id#chunk; audit ok at BOTH standard and epic; epic now places 1594-1629 tiles across chunks instead of dropping them,biggest cap now 1024 = exactly 65536 bytes which is allowed
81,2026-08-08,content,EPIC level size was unplayable and now works,DONE,epic (256 wide) previously blew the uniform limit and froze the screen; now 5/6 seeds won with median 17.1s vs 10.3s at standard - up to 9 deliveries and 11 enemies per level,CORRECTION: epic is 6/6 - seed 40031 was my bot's jump phase not the level
82,2026-08-08,process,CORRECTION - the epic 1-in-6 stall was the bot again not the generator,DONE,same seed 40031 same build: gap-probe lookAhead 0.0 and 1.0 die 8-9 times at a 2-tile lava pit while 0.5 and 1.5 win it in 18.9s with 0 deaths. Epic re-measured at 6/6 median 17.8s,sixth instrument error this session - the probe phase decided the verdict not the game
83,2026-08-08,content,Both level sizes verified completable end to end,DONE,standard 8/8 median 10.2s and epic 6/6 median 17.8s both with 0 deaths and the route gate enforced,epic roughly doubles level length and carries more content (up to 9 deliveries 11 enemies)
84,2026-08-08,bug,Check the route gate cannot soft-lock a level after a death,DONE,killed the player mid-route with 3 of 4 boxes served: respawn restores playGrid (4 mailboxes back) and resets deliveries to 0 so quota 2 stays reachable; verdict ok,a gate plus consumed mailboxes would have recreated the unwinnable-level class - this was the first thing to check after shipping it
85,2026-08-08,design,Death costs the whole route not just position,DONE,respawn is at a checkpoint (x4181 not the start) but deliveries and score both reset to 0 while the level restores,coherent with score resetting but harsh on a 17s epic run - wants Micah's opinion on whether the route should persist past a death
86,2026-08-08,design,The route now survives a death,DONE,spawnWorld runs on BOTH a fresh level and a respawn so zeroing there wiped the round; routeKeep carries deliveries across a respawn only. Verified 2->2 exact across a death with no input, tries incremented, gate still open,you respawn at a checkpoint but restored boxes could be BEHIND you - you had to walk backwards to re-earn a quota already met
87,2026-08-08,bug,Regression battery after the route-survives-death change,DONE,standard 8/8 median 10.1s, epic 6/6 median 17.6s, non-delivering bot still 0/3 so the gate did not become decorative,fresh levels still start the route at 0
88,2026-08-08,art,FRAMING - camera showed ~34 tiles across and the rider was 3pct of frame height,DONE,PLAY_ZOOM 1.7 -> 20.4 tiles across and the rider is 51px / 4.9pct of frame and legible as a rider on a wheel; mailboxes and pickups now read too,I judged this from an actual screenshot instead of deferring it - world pixels were mapped 1:1 to screen pixels with no zoom at all
89,2026-08-08,bug,Zoom must not touch the editor,DONE,play-only zoom; edit returns to exactly 1:1 (editIs1to1 true) and the paint path still agrees with the 3D cursor at 3 sample points,screenToTile and the offsetX paint path both assume 1:1 so the editor was left alone by construction
90,2026-08-08,bug,matchTo2D silently rewrote a 1:1 frustum on every resize,DONE,it now invalidates _lastZoom so the next frame re-applies the play zoom instead of running unzoomed after a resize or toolbar reflow,would have shown up as the zoom randomly reverting
91,2026-08-08,bug,Regression battery after the framing change,DONE,standard 8/8 median 10.2s unchanged and the route gate still refuses a non-delivering bot 0/3,
92,2026-08-08,bug,"Editor not working - portal placed above a ramp did not appear",NOT A BUG,traced the whole chain: PORTAL selects (id 8) placement writes GOAL to the grid it renders in the editor and survives into play (26 in grid = 26 in playGrid = 26 rendered); palette auto-scrolls the swatch into view. Micah confirmed it was a missing hard refresh,a tab left open keeps running the build it loaded
93,2026-08-08,ui,STALE-BUILD NOTICE so an open tab stops silently running an old build,DONE,every build stamps window.__BUILD; the page re-fetches itself every 45s with cache no-store and shows a click-to-reload banner when the server is newer. Verified end to end - banner appeared on the real interval not a hand-run copy,the most persistent bug in this project per its own service-worker comment and it cost a false editor bug report today
94,2026-08-08,ui,Update banner covered the palette,DONE,anchored bottom:18px it sat on top of the lava/water/gear swatches; moved to top:188px under the toolbar,caught by looking at the screenshot rather than trusting bannerPresent:true
