arm,family,color,query,both_swap_targets_correct,both_original_targets_correct
internal,J03,blue,initial_recipient,0,0
internal,J03,blue,later_giver,0,0
internal,J03,blue,later_color,0,0
internal,J04,red,initial_recipient,0,0
internal,J04,red,later_giver,0,0
internal,J04,red,later_color,1,1
internal,J04,blue,initial_recipient,0,0
internal,J04,blue,later_giver,0,0
internal,J04,blue,later_color,0,0
internal,J05,red,initial_recipient,0,0
internal,J05,red,later_giver,0,0
internal,J05,red,later_color,1,1
internal,J05,blue,initial_recipient,0,0
internal,J05,blue,later_giver,0,0
internal,J05,blue,later_color,0,0
internal,J06,red,initial_recipient,0,0
internal,J06,red,later_giver,0,0
internal,J06,red,later_color,1,1
internal,J06,blue,initial_recipient,0,0
internal,J06,blue,later_giver,0,0
internal,J06,blue,later_color,0,0
internal,J07,red,initial_recipient,0,0
internal,J07,red,later_giver,0,0
internal,J07,red,later_color,1,1
internal,J07,blue,initial_recipient,0,0
internal,J07,blue,later_giver,0,0
internal,J07,blue,later_color,0,0
task,J00,red,initial_recipient,0,0
task,J00,red,later_giver,0,0
task,J00,red,later_color,1,1
task,J00,blue,initial_recipient,0,0
task,J00,blue,later_giver,0,0
task,J00,blue,later_color,1,1
task,J01,red,initial_recipient,0,0
task,J01,red,later_giver,0,0
task,J01,red,later_color,1,1
task,J01,blue,initial_recipient,0,0
task,J01,blue,later_giver,0,0
task,J01,blue,later_color,1,1
task,J02,red,initial_recipient,0,0
task,J02,red,later_giver,0,0
task,J02,red,later_color,1,1
task,J02,blue,initial_recipient,0,0
task,J02,blue,later_giver,0,0
task,J02,blue,later_color,0,0
task,J03,red,initial_recipient,0,0
task,J03,red,later_giver,0,0
task,J03,red,later_color,1,1
task,J03,blue,initial_recipient,0,0
task,J03,blue,later_giver,0,0
task,J03,blue,later_color,0,0
task,J04,red,initial_recipient,0,0
task,J04,red,later_giver,0,0
task,J04,red,later_color,1,1
task,J04,blue,initial_recipient,0,0
task,J04,blue,later_giver,0,0
task,J04,blue,later_color,0,0
task,J05,red,initial_recipient,0,1
task,J05,red,later_giver,0,0
task,J05,red,later_color,1,1
task,J05,blue,initial_recipient,0,0
task,J05,blue,later_giver,0,0
task,J05,blue,later_color,0,0
task,J06,red,initial_recipient,0,0
task,J06,red,later_giver,0,0
task,J06,red,later_color,1,1
task,J06,blue,initial_recipient,0,0
task,J06,blue,later_giver,0,0
task,J06,blue,later_color,0,0
task,J07,red,initial_recipient,0,0
task,J07,red,later_giver,0,0
task,J07,red,later_color,1,1
task,J07,blue,initial_recipient,0,0
task,J07,blue,later_giver,0,0
task,J07,blue,later_color,0,0
yoked,J00,red,initial_recipient,0,0
yoked,J00,red,later_giver,0,0
yoked,J00,red,later_color,1,1
yoked,J00,blue,initial_recipient,0,0
yoked,J00,blue,later_giver,0,0
yoked,J00,blue,later_color,1,1
yoked,J01,red,initial_recipient,0,0
yoked,J01,red,later_giver,0,0
yoked,J01,red,later_color,1,1
yoked,J01,blue,initial_recipient,0,0
yoked,J01,blue,later_giver,0,0
yoked,J01,blue,later_color,1,1
yoked,J02,red,initial_recipient,0,0
yoked,J02,red,later_giver,0,0
yoked,J02,red,later_color,1,1
yoked,J02,blue,initial_recipient,0,0
yoked,J02,blue,later_giver,0,0
yoked,J02,blue,later_color,0,0
yoked,J03,red,initial_recipient,0,0
yoked,J03,red,later_giver,0,0
yoked,J03,red,later_color,1,1
yoked,J03,blue,initial_recipient,0,0
yoked,J03,blue,later_giver,0,0
yoked,J03,blue,later_color,0,0
yoked,J04,red,initial_recipient,0,0
yoked,J04,red,later_giver,0,0
yoked,J04,red,later_color,1,1
yoked,J04,blue,initial_recipient,0,0
yoked,J04,blue,later_giver,0,0
yoked,J04,blue,later_color,0,0
yoked,J05,red,initial_recipient,0,0
yoked,J05,red,later_giver,0,0
yoked,J05,red,later_color,1,1
yoked,J05,blue,initial_recipient,0,0
yoked,J05,blue,later_giver,0,0
yoked,J05,blue,later_color,0,0
yoked,J06,red,initial_recipient,0,0
yoked,J06,red,later_giver,0,0
yoked,J06,red,later_color,1,1
yoked,J06,blue,initial_recipient,0,0
yoked,J06,blue,later_giver,0,0
yoked,J06,blue,later_color,0,0
yoked,J07,red,initial_recipient,0,0
yoked,J07,red,later_giver,0,0
yoked,J07,red,later_color,1,1
yoked,J07,blue,initial_recipient,0,0
yoked,J07,blue,later_giver,0,0
yoked,J07,blue,later_color,0,0
supervised_ridge,J00,red,initial_recipient,0,0
supervised_ridge,J00,red,later_giver,0,0
supervised_ridge,J00,red,later_color,1,1
supervised_ridge,J00,blue,initial_recipient,0,0
supervised_ridge,J00,blue,later_giver,0,0
supervised_ridge,J00,blue,later_color,1,1
supervised_ridge,J01,red,initial_recipient,0,0
supervised_ridge,J01,red,later_giver,0,0
supervised_ridge,J01,red,later_color,1,1
supervised_ridge,J01,blue,initial_recipient,0,0
supervised_ridge,J01,blue,later_giver,0,0
supervised_ridge,J01,blue,later_color,1,1
supervised_ridge,J02,red,initial_recipient,0,0
supervised_ridge,J02,red,later_giver,0,0
supervised_ridge,J02,red,later_color,1,1
supervised_ridge,J02,blue,initial_recipient,0,0
supervised_ridge,J02,blue,later_giver,0,0
supervised_ridge,J02,blue,later_color,0,0
supervised_ridge,J03,red,initial_recipient,0,0
supervised_ridge,J03,red,later_giver,0,0
supervised_ridge,J03,red,later_color,1,1
supervised_ridge,J03,blue,initial_recipient,0,0
supervised_ridge,J03,blue,later_giver,0,0
supervised_ridge,J03,blue,later_color,0,0
supervised_ridge,J04,red,initial_recipient,0,0
supervised_ridge,J04,red,later_giver,0,0
supervised_ridge,J04,red,later_color,1,1
supervised_ridge,J04,blue,initial_recipient,0,0
supervised_ridge,J04,blue,later_giver,0,0
supervised_ridge,J04,blue,later_color,0,0
supervised_ridge,J05,red,initial_recipient,0,0
supervised_ridge,J05,red,later_giver,0,0
supervised_ridge,J05,red,later_color,1,1
supervised_ridge,J05,blue,initial_recipient,0,0
supervised_ridge,J05,blue,later_giver,0,0
supervised_ridge,J05,blue,later_color,0,0
supervised_ridge,J06,red,initial_recipient,0,0
supervised_ridge,J06,red,later_giver,0,0
supervised_ridge,J06,red,later_color,1,1
supervised_ridge,J06,blue,initial_recipient,0,0
supervised_ridge,J06,blue,later_giver,0,0
supervised_ridge,J06,blue,later_color,0,0
supervised_ridge,J07,red,initial_recipient,0,0
supervised_ridge,J07,red,later_giver,0,0
supervised_ridge,J07,red,later_color,1,1
supervised_ridge,J07,blue,initial_recipient,0,0
supervised_ridge,J07,blue,later_giver,0,0
supervised_ridge,J07,blue,later_color,0,0
reflection,J00,red,initial_recipient,0,0
reflection,J00,red,later_giver,0,0
reflection,J00,red,later_color,1,1
reflection,J00,blue,initial_recipient,0,0
reflection,J00,blue,later_giver,0,0
reflection,J00,blue,later_color,1,1
reflection,J01,red,initial_recipient,0,0
reflection,J01,red,later_giver,0,0
reflection,J01,red,later_color,1,1
reflection,J01,blue,initial_recipient,0,0
reflection,J01,blue,later_giver,0,0
reflection,J01,blue,later_color,1,1
reflection,J02,red,initial_recipient,0,0
reflection,J02,red,later_giver,0,0
reflection,J02,red,later_color,1,1
reflection,J02,blue,initial_recipient,0,0
reflection,J02,blue,later_giver,0,0
reflection,J02,blue,later_color,0,0
reflection,J03,red,initial_recipient,0,0
reflection,J03,red,later_giver,0,0
reflection,J03,red,later_color,1,1
reflection,J03,blue,initial_recipient,0,0
reflection,J03,blue,later_giver,0,0
reflection,J03,blue,later_color,0,0
reflection,J04,red,initial_recipient,0,0
reflection,J04,red,later_giver,0,0
reflection,J04,red,later_color,1,1
reflection,J04,blue,initial_recipient,0,0
reflection,J04,blue,later_giver,0,0
reflection,J04,blue,later_color,0,0
reflection,J05,red,initial_recipient,0,0
reflection,J05,red,later_giver,0,0
reflection,J05,red,later_color,1,1
reflection,J05,blue,initial_recipient,0,0
reflection,J05,blue,later_giver,0,0
reflection,J05,blue,later_color,0,0
reflection,J06,red,initial_recipient,0,0
reflection,J06,red,later_giver,0,0
reflection,J06,red,later_color,1,1
reflection,J06,blue,initial_recipient,0,0
reflection,J06,blue,later_giver,0,0
reflection,J06,blue,later_color,0,0
reflection,J07,red,initial_recipient,0,0
reflection,J07,red,later_giver,0,0
reflection,J07,red,later_color,1,1
reflection,J07,blue,initial_recipient,0,0
reflection,J07,blue,later_giver,0,0
reflection,J07,blue,later_color,0,0
residual_donor,J00,red,initial_recipient,0,0
residual_donor,J00,red,later_giver,0,0
residual_donor,J00,red,later_color,1,1
residual_donor,J00,blue,initial_recipient,0,0
residual_donor,J00,blue,later_giver,0,0
residual_donor,J00,blue,later_color,1,1
residual_donor,J01,red,initial_recipient,0,0
residual_donor,J01,red,later_giver,0,0
residual_donor,J01,red,later_color,1,1
residual_donor,J01,blue,initial_recipient,0,0
residual_donor,J01,blue,later_giver,0,0
residual_donor,J01,blue,later_color,1,1
residual_donor,J02,red,initial_recipient,0,0
residual_donor,J02,red,later_giver,0,0
residual_donor,J02,red,later_color,1,1
residual_donor,J02,blue,initial_recipient,0,0
residual_donor,J02,blue,later_giver,0,0
residual_donor,J02,blue,later_color,0,0
residual_donor,J03,red,initial_recipient,1,0
residual_donor,J03,red,later_giver,0,0
residual_donor,J03,red,later_color,1,1
residual_donor,J03,blue,initial_recipient,1,0
residual_donor,J03,blue,later_giver,0,0
residual_donor,J03,blue,later_color,0,0
residual_donor,J04,red,initial_recipient,0,0
residual_donor,J04,red,later_giver,0,0
residual_donor,J04,red,later_color,1,1
residual_donor,J04,blue,initial_recipient,0,0
residual_donor,J04,blue,later_giver,0,0
residual_donor,J04,blue,later_color,0,0
residual_donor,J05,red,initial_recipient,1,0
residual_donor,J05,red,later_giver,0,0
residual_donor,J05,red,later_color,1,1
residual_donor,J05,blue,initial_recipient,1,0
residual_donor,J05,blue,later_giver,0,0
residual_donor,J05,blue,later_color,0,0
residual_donor,J06,red,initial_recipient,0,0
residual_donor,J06,red,later_giver,0,0
residual_donor,J06,red,later_color,1,1
residual_donor,J06,blue,initial_recipient,0,0
residual_donor,J06,blue,later_giver,0,0
residual_donor,J06,blue,later_color,0,0
residual_donor,J07,red,initial_recipient,0,0
residual_donor,J07,red,later_giver,0,0
residual_donor,J07,red,later_color,1,1
residual_donor,J07,blue,initial_recipient,0,0
residual_donor,J07,blue,later_giver,0,0
residual_donor,J07,blue,later_color,0,0
prefix_donor,J00,red,initial_recipient,1,0
prefix_donor,J00,red,later_giver,0,0
prefix_donor,J00,red,later_color,1,1
prefix_donor,J00,blue,initial_recipient,1,0
prefix_donor,J00,blue,later_giver,0,0
prefix_donor,J00,blue,later_color,1,1
prefix_donor,J01,red,initial_recipient,1,0
prefix_donor,J01,red,later_giver,0,0
prefix_donor,J01,red,later_color,1,1
prefix_donor,J01,blue,initial_recipient,1,0
prefix_donor,J01,blue,later_giver,0,0
prefix_donor,J01,blue,later_color,1,1
prefix_donor,J02,red,initial_recipient,1,0
prefix_donor,J02,red,later_giver,0,0
prefix_donor,J02,red,later_color,1,1
prefix_donor,J02,blue,initial_recipient,1,0
prefix_donor,J02,blue,later_giver,0,0
prefix_donor,J02,blue,later_color,0,0
prefix_donor,J03,red,initial_recipient,1,0
prefix_donor,J03,red,later_giver,0,0
prefix_donor,J03,red,later_color,1,1
prefix_donor,J03,blue,initial_recipient,1,0
prefix_donor,J03,blue,later_giver,0,0
prefix_donor,J03,blue,later_color,0,0
prefix_donor,J04,red,initial_recipient,1,0
prefix_donor,J04,red,later_giver,0,0
prefix_donor,J04,red,later_color,1,1
prefix_donor,J04,blue,initial_recipient,1,0
prefix_donor,J04,blue,later_giver,0,0
prefix_donor,J04,blue,later_color,0,0
prefix_donor,J05,red,initial_recipient,1,0
prefix_donor,J05,red,later_giver,0,0
prefix_donor,J05,red,later_color,1,1
prefix_donor,J05,blue,initial_recipient,1,0
prefix_donor,J05,blue,later_giver,0,0
prefix_donor,J05,blue,later_color,0,0
prefix_donor,J06,red,initial_recipient,0,0
prefix_donor,J06,red,later_giver,0,0
prefix_donor,J06,red,later_color,1,1
prefix_donor,J06,blue,initial_recipient,0,0
prefix_donor,J06,blue,later_giver,0,0
prefix_donor,J06,blue,later_color,0,0
prefix_donor,J07,red,initial_recipient,0,0
prefix_donor,J07,red,later_giver,0,0
prefix_donor,J07,red,later_color,1,1
prefix_donor,J07,blue,initial_recipient,0,0
prefix_donor,J07,blue,later_giver,0,0
prefix_donor,J07,blue,later_color,0,0
internal_restore_upper,J00,red,initial_recipient,0,0
internal_restore_upper,J00,red,later_giver,0,0
internal_restore_upper,J00,red,later_color,1,1
internal_restore_upper,J00,blue,initial_recipient,0,0
internal_restore_upper,J00,blue,later_giver,0,0
internal_restore_upper,J00,blue,later_color,1,1
internal_restore_upper,J01,red,initial_recipient,0,0
internal_restore_upper,J01,red,later_giver,0,0
internal_restore_upper,J01,red,later_color,1,1
internal_restore_upper,J01,blue,initial_recipient,0,0
internal_restore_upper,J01,blue,later_giver,0,0
internal_restore_upper,J01,blue,later_color,1,1
internal_restore_upper,J02,red,initial_recipient,0,0
internal_restore_upper,J02,red,later_giver,0,0
internal_restore_upper,J02,red,later_color,1,1
internal_restore_upper,J02,blue,initial_recipient,0,0
internal_restore_upper,J02,blue,later_giver,0,0
internal_restore_upper,J02,blue,later_color,0,0
internal_restore_upper,J03,red,initial_recipient,0,0
internal_restore_upper,J03,red,later_giver,0,0
internal_restore_upper,J03,red,later_color,1,1
internal_restore_upper,J03,blue,initial_recipient,0,0
internal_restore_upper,J03,blue,later_giver,0,0
internal_restore_upper,J03,blue,later_color,0,0
internal_restore_upper,J04,red,initial_recipient,0,0
internal_restore_upper,J04,red,later_giver,0,0
internal_restore_upper,J04,red,later_color,1,1
internal_restore_upper,J04,blue,initial_recipient,0,0
internal_restore_upper,J04,blue,later_giver,0,0
internal_restore_upper,J04,blue,later_color,0,0
internal_restore_upper,J05,red,initial_recipient,0,0
internal_restore_upper,J05,red,later_giver,0,0
internal_restore_upper,J05,red,later_color,1,1
internal_restore_upper,J05,blue,initial_recipient,0,0
internal_restore_upper,J05,blue,later_giver,0,0
internal_restore_upper,J05,blue,later_color,0,0
internal_restore_upper,J06,red,initial_recipient,0,0
internal_restore_upper,J06,red,later_giver,0,0
internal_restore_upper,J06,red,later_color,1,1
internal_restore_upper,J06,blue,initial_recipient,0,0
internal_restore_upper,J06,blue,later_giver,0,0
internal_restore_upper,J06,blue,later_color,0,0
internal_restore_upper,J07,red,initial_recipient,0,0
internal_restore_upper,J07,red,later_giver,0,0
internal_restore_upper,J07,red,later_color,1,1
internal_restore_upper,J07,blue,initial_recipient,0,0
internal_restore_upper,J07,blue,later_giver,0,0
internal_restore_upper,J07,blue,later_color,0,0
internal_restore_lower,J00,red,initial_recipient,0,0
internal_restore_lower,J00,red,later_giver,0,0
internal_restore_lower,J00,red,later_color,1,1
internal_restore_lower,J00,blue,initial_recipient,0,0
internal_restore_lower,J00,blue,later_giver,0,0
internal_restore_lower,J00,blue,later_color,1,1
internal_restore_lower,J01,red,initial_recipient,0,0
internal_restore_lower,J01,red,later_giver,0,0
internal_restore_lower,J01,red,later_color,1,1
internal_restore_lower,J01,blue,initial_recipient,0,0
internal_restore_lower,J01,blue,later_giver,0,0
internal_restore_lower,J01,blue,later_color,1,1
internal_restore_lower,J02,red,initial_recipient,0,0
internal_restore_lower,J02,red,later_giver,0,0
internal_restore_lower,J02,red,later_color,1,1
internal_restore_lower,J02,blue,initial_recipient,0,0
internal_restore_lower,J02,blue,later_giver,0,0
internal_restore_lower,J02,blue,later_color,0,0
internal_restore_lower,J03,red,initial_recipient,0,0
internal_restore_lower,J03,red,later_giver,0,0
internal_restore_lower,J03,red,later_color,1,1
internal_restore_lower,J03,blue,initial_recipient,0,0
internal_restore_lower,J03,blue,later_giver,0,0
internal_restore_lower,J03,blue,later_color,0,0
internal_restore_lower,J04,red,initial_recipient,0,0
internal_restore_lower,J04,red,later_giver,0,0
internal_restore_lower,J04,red,later_color,1,1
internal_restore_lower,J04,blue,initial_recipient,0,0
internal_restore_lower,J04,blue,later_giver,0,0
internal_restore_lower,J04,blue,later_color,0,0
internal_restore_lower,J05,red,initial_recipient,0,0
internal_restore_lower,J05,red,later_giver,0,0
internal_restore_lower,J05,red,later_color,1,1
internal_restore_lower,J05,blue,initial_recipient,0,0
internal_restore_lower,J05,blue,later_giver,0,0
internal_restore_lower,J05,blue,later_color,0,0
internal_restore_lower,J06,red,initial_recipient,0,0
internal_restore_lower,J06,red,later_giver,0,0
internal_restore_lower,J06,red,later_color,1,1
internal_restore_lower,J06,blue,initial_recipient,0,0
internal_restore_lower,J06,blue,later_giver,0,0
internal_restore_lower,J06,blue,later_color,0,0
internal_restore_lower,J07,red,initial_recipient,0,0
internal_restore_lower,J07,red,later_giver,0,0
internal_restore_lower,J07,red,later_color,1,1
internal_restore_lower,J07,blue,initial_recipient,0,0
internal_restore_lower,J07,blue,later_giver,0,0
internal_restore_lower,J07,blue,later_color,0,0
